STATE,INDEX,NAME
1,175267,ACRE
2,298301,ALAGOAS
3,195666,AMAPÁ
4,668380,AMAZONAS
5,989207,BAHIA
6,1030321,CEARÁ
7,511817,DISTRITO FEDERAL
8,415440,ESPÍRITO SANTO
9,1000817,GOIÁS
10,918208,MARANHÃO
11,599628,MATO GROSSO
12,400824,MATO GROSSO DO SUL
13,1713624,MINAS GERAIS
14,1395771,PARÁ
15,354113,PARAÍBA
16,1197328,PARANÁ
17,918068,PERNAMBUCO
18,275737,PIAUÍ
19,1602301,RIO DE JANEIRO
20,410703,RIO GRANDE DO NORTE
21,603618,RIO GRANDE DO SUL
22,180714,RONDÔNIA
23,126830,RORAIMA
24,906393,SANTA CATARINA
25,4219757,SÃO PAULO
26,395099,SERGIPE
27,281725,TOCANTINS
