lot,lat,axis,uf,pop5anosoumais,imigrantes,perImigrantes,emigrantes,perEmigrantes,saldoMigratorio,taxaMigratoria,pop1991,pop2000,1991/2000
-66.8830,-9.8280,Acrelândia,AC,6764,1665,24.62,793,11.73,872,12.89,5467,7935,4.27
-69.5670,-10.9410,Assis Brasil,AC,3027,267,8.8,434,14.35,-168,-5.54,2917,3490,2.03
-68.7480,-11.0100,Brasiléia,AC,14764,591,4,2275,15.41,-1684,-11.41,13992,17013,2.22
-67.9520,-9.8310,Bujari,AC,4968,1115,22.44,305,6.13,810,16.31,3182,5826,7.02
-67.6760,-10.5730,Capixaba,AC,4415,1231,27.88,179,4.05,1052,23.83,2316,5206,9.51
-72.6700,-7.6310,Cruzeiro do Sul,AC,57390,3000,5.23,4446,7.75,-1446,-2.52,47812,67441,3.93
-68.7410,-11.0290,Epitaciolândia,AC,9559,759,7.94,517,5.41,242,2.53,7429,11028,4.53
-70.3540,-8.1640,Feijó,AC,23464,399,1.7,2372,10.11,-1973,-8.41,17769,26722,4.68
-71.8840,-9.4340,Jordão,AC,3494,31,0.9,65,1.86,-34,-0.96,4210,4454,0.63
-72.8960,-7.6140,Mâncio Lima,AC,9443,483,5.11,643,6.81,-160,-1.7,7842,11095,3.97
-69.2600,-8.8390,Manoel Urbano,AC,5288,282,5.33,603,11.41,-322,-6.08,4650,6374,3.6
-72.7920,-8.9410,Marechal Thaumaturgo,AC,6745,170,2.53,427,6.33,-256,-3.8,8076,8295,0.3
-67.1500,-10.2760,Plácido de Castro,AC,13116,1988,15.15,1418,10.81,570,4.34,12383,15172,2.3
-67.5330,-9.5880,Porto Acre,AC,9819,2175,22.15,379,3.86,1796,18.29,9152,11418,2.51
-72.7440,-8.2690,Porto Walter,AC,4467,18,0.4,566,12.66,-548,-12.26,6447,5485,-1.8
-67.8100,-9.9750,Rio Branco,AC,221864,18525,8.35,16207,7.3,2318,1.04,183280,253059,3.68
-72.6470,-7.7420,Rodrigues Alves,AC,6648,688,10.34,340,5.11,348,5.23,6643,8093,2.24
-70.4930,-9.4330,Santa Rosa do Purus,AC,1800,106,5.87,101,5.59,5,0.28,677,2246,14.4
-68.6570,-9.0660,Sena Madureira,AC,24885,1192,4.79,3202,12.87,-2010,-8.08,24197,29420,2.22
-67.7360,-10.1510,Senador Guiomard,AC,17112,2840,16.6,1235,7.22,1605,9.38,15174,19761,3.01
-70.7660,-8.1610,Tarauacá,AC,21721,658,3.03,2366,10.89,-1708,-7.86,23449,26037,1.18
-68.5040,-10.6520,Xapuri,AC,10328,566,5.48,2131,20.63,-1565,-15.15,10654,11956,1.3
-37.9380,-9.2620,Água Branca,AL,16984,278,1.64,1674,9.86,-1396,-8.22,18157,18660,0.31
-36.3040,-9.6840,Anadia,AL,15789,611,3.87,2117,13.41,-1507,-9.54,16337,17849,1
-36.6610,-9.7520,Arapiraca,AL,165545,13535,8.18,20100,12.14,-6565,-3.97,164921,186466,1.39
-36.0230,-9.5020,Atalaia,AL,35260,2530,7.18,5135,14.56,-2605,-7.39,38563,40552,0.57
-35.5070,-9.4050,Barra de Santo Antônio,AL,9729,1144,11.76,804,8.26,341,3.5,7423,11351,4.88
-35.9080,-9.8400,Barra de São Miguel,AL,5620,674,11.99,637,11.33,37,0.66,4950,6379,2.89
-37.1250,-9.6780,Batalha,AL,12952,635,4.9,1747,13.48,-1112,-8.58,13033,14799,1.44
-36.4920,-9.5710,Belém,AL,5314,355,6.69,419,7.89,-64,-1.2,5919,5919,0
-37.2800,-9.8280,Belo Monte,AL,5955,310,5.21,531,8.92,-221,-3.71,7067,6822,-0.39
-36.2200,-9.6410,Boca da Mata,AL,21282,1708,8.02,2993,14.06,-1285,-6.04,22188,24227,0.99
-36.0150,-9.2460,Branquinha,AL,9741,2212,22.71,905,9.29,1307,13.42,8305,11325,3.54
-36.9900,-9.4000,Cacimbinhas,AL,8352,870,10.42,1164,13.94,-294,-3.52,11408,9552,-1.97
-36.1540,-9.3970,Cajueiro,AL,16512,1529,9.26,2179,13.2,-650,-3.94,18597,18975,0.23
-35.5680,-8.8460,Campestre,AL,5396,668,12.38,935,17.32,-267,-4.94,9003,6223,-4.06
-36.3510,-9.7820,Campo Alegre,AL,36211,2917,8.05,3309,9.14,-392,-1.08,36770,41028,1.24
-36.7920,-9.9580,Campo Grande,AL,7940,551,6.94,684,8.61,-133,-1.68,10041,9134,-1.06
-37.6050,-9.1270,Canapi,AL,14810,919,6.21,2036,13.75,-1117,-7.54,18630,17334,-0.81
-36.0740,-9.4080,Capela,AL,16864,407,2.42,2320,13.76,-1913,-11.34,18777,18693,-0.05
-37.3770,-9.4830,Carneiros,AL,5594,584,10.44,413,7.39,171,3.05,5687,6585,1.66
-36.2960,-9.2550,Chã Preta,AL,7121,405,5.69,1076,15.1,-671,-9.42,8196,7760,-0.61
-36.5790,-9.6320,Coité do Nóia,AL,10434,606,5.81,619,5.93,-13,-0.13,9799,11993,2.29
-35.7250,-8.9090,Colônia Leopoldina,AL,15154,1021,6.74,2731,18.02,-1710,-11.29,16739,17493,0.5
-35.8030,-9.6380,Coqueiro Seco,AL,4585,479,10.45,465,10.14,14,0.31,4784,5134,0.8
-36.1760,-10.1260,Coruripe,AL,42969,2548,5.93,6807,15.84,-4259,-9.91,49240,48846,-0.09
-36.7680,-9.6180,Craíbas,AL,18013,1217,6.76,1324,7.35,-107,-0.59,17816,20789,1.75
-37.9960,-9.3860,Delmiro Gouveia,AL,38254,4421,11.56,4879,12.75,-458,-1.2,41214,42995,0.48
-37.1010,-9.3930,Dois Riachos,AL,9586,956,9.98,861,8.98,95,0.99,10011,11066,1.13
-36.7600,-9.3900,Estrela de Alagoas,AL,14629,921,6.3,598,4.09,323,2.21,15585,16341,0.53
-36.6780,-9.9000,Feira Grande,AL,18608,844,4.53,1298,6.97,-454,-2.44,19052,21270,1.24
-36.3060,-10.2920,Feliz Deserto,AL,3338,355,10.65,363,10.88,-8,-0.23,3438,3836,1.24
-35.7150,-9.2730,Flexeiras,AL,10320,986,9.56,1656,16.04,-669,-6.49,12097,11979,-0.11
-36.8290,-9.8840,Girau do Ponciano,AL,26043,1365,5.24,1556,5.98,-191,-0.73,27801,29574,0.7
-35.9390,-8.9730,Ibateguara,AL,13120,626,4.77,1784,13.6,-1158,-8.83,15620,15105,-0.38
-36.6340,-9.5370,Igaci,AL,22909,1663,7.26,2258,9.86,-595,-2.6,26127,25584,-0.24
