lot,lat,axis,uf,value
-66883,-9828,Acrelândia,AC,1438
-69567,-10941,Assis Brasil,AC,5675
-68748,-11.01,Brasiléia,AC,5029
-67952,-9831,Bujari,AC,3442
-67676,-10573,Capixaba,AC,6622
-72.67,-7631,Cruzeiro do Sul,AC,7634
-68741,-11029,Epitaciolândia,AC,1760
-70354,-8164,Feijó,AC,8599
-71884,-9434,Jordão,AC,5259
-72896,-7614,Mâncio Lima,AC,4014
-69.26,-8839,Manoel Urbano,AC,5847
-72792,-8941,Marechal Thaumaturgo,AC,9565
-67.15,-10276,Plácido de Castro,AC,1103
-67533,-9588,Porto Acre,AC,47
-72744,-8269,Porto Walter,AC,299
-67.81,-9975,Rio Branco,AC,1481
-72647,-7742,Rodrigues Alves,AC,7802
-70493,-9433,Santa Rosa do Purus,AC,2345
-68657,-9066,Sena Madureira,AC,5314
-67736,-10151,Senador Guiomard,AC,2192
-70766,-8161,Tarauacá,AC,9562
-68504,-10652,Xapuri,AC,8573
-37938,-9262,Água Branca,AL,8767
-36304,-9684,Anadia,AL,707
-36661,-9752,Arapiraca,AL,9321
-36023,-9502,Atalaia,AL,9033
-35507,-9405,Barra de Santo Antônio,AL,5066
-35908,-9.84,Barra de São Miguel,AL,7562
-37125,-9678,Batalha,AL,951
-36492,-9571,Belém,AL,9251
-37.28,-9828,Belo Monte,AL,2062
-36.22,-9641,Boca da Mata,AL,5965
-36015,-9246,Branquinha,AL,2409
-36.99,-9.4,Cacimbinhas,AL,7460
-36154,-9397,Cajueiro,AL,8981
-35568,-8846,Campestre,AL,7474
-36351,-9782,Campo Alegre,AL,7003
-36792,-9958,Campo Grande,AL,5894
-37605,-9127,Canapi,AL,6898
-36074,-9408,Capela,AL,4366
-37377,-9483,Carneiros,AL,1057
-36296,-9255,Chã Preta,AL,7863
-36579,-9632,Coité do Nóia,AL,9193
-35725,-8909,Colônia Leopoldina,AL,3907
-35803,-9638,Coqueiro Seco,AL,7137
-36176,-10126,Coruripe,AL,7244
-36768,-9618,Craíbas,AL,7131
-37996,-9386,Delmiro Gouveia,AL,2851
-37101,-9393,Dois Riachos,AL,8766
-36.76,-9.39,Estrela de Alagoas,AL,2193
-36678,-9.9,Feira Grande,AL,2091
-36306,-10292,Feliz Deserto,AL,9870
-35715,-9273,Flexeiras,AL,5688
-36829,-9884,Girau do Ponciano,AL,9838
-35939,-8973,Ibateguara,AL,2715
-36634,-9537,Igaci,AL,6316
-36662,-10125,Igreja Nova,AL,771
-37754,-9219,Inhapi,AL,3338
-37205,-9636,Jacaré dos Homens,AL,3607
-35.46,-8842,Jacuípe,AL,5864
-35258,-9088,Japaratinga,AL,6350
-37002,-9659,Jaramataia,AL,6011
-35748,-9133,Joaquim Gomes,AL,1792
-35574,-8935,Jundiá,AL,4251
-36476,-9925,Junqueiro,AL,4473
-36738,-9.83,Lagoa da Canoa,AL,6227
-36503,-9741,Limoeiro de Anadia,AL,1949
-35735,-9666,Maceió,AL,8524
-36985,-9532,Major Isidoro,AL,2762
-36388,-9448,Mar Vermelho,AL,4290
-35222,-9012,Maragogi,AL,4531
-37.35,-9236,Maravilha,AL,3763
-35895,-9.71,Marechal Deodoro,AL,7260
-36305,-9577,Maribondo,AL,596
-37734,-9118,Mata Grande,AL,9931
-35533,-9152,Matriz de Camaragibe,AL,6233
-35842,-9383,Messias,AL,4603
-36865,-9305,Minador do Negrão,AL,5796
-37248,-9603,Monteirópolis,AL,81
-35943,-9307,Murici,AL,7306
-35647,-8915,Novo Lino,AL,9165
-37294,-9536,Olho d'Água das Flores,AL,3230
-37832,-9501,Olho d'Água do Casado,AL,1216
-36817,-10058,Olho d'Água Grande,AL,8631
-37191,-9519,Olivença,AL,7458
-37357,-9167,Ouro Branco,AL,6196
-37329,-9672,Palestina,AL,5263
-36628,-9407,Palmeira dos Índios,AL,6748
-37437,-9748,Pão de Açúcar,AL,2065
-38006,-9254,Pariconha,AL,4671
-35552,-9465,Paripueira,AL,9293
-35493,-9238,Passo de Camaragibe,AL,3747
-36.37,-9366,Paulo Jacinto,AL,7107
-36586,-10.29,Penedo,AL,2657
-36434,-10406,Piaçabuçu,AL,5572
-35957,-9597,Pilar,AL,7541
-36.29,-9475,Pindoba,AL,8546
-37757,-9624,Piranhas,AL,1755
-37286,-9313,Poço das Trincheiras,AL,3026
-35398,-9045,Porto Calvo,AL,4824
-35295,-9158,Porto de Pedras,AL,5534
-36.84,-10186,Porto Real do Colégio,AL,4628
-36471,-9319,Quebrangulo,AL,8184
-35853,-9478,Rio Largo,AL,8281
-35978,-9833,Roteiro,AL,5889
-35822,-9603,Santa Luzia do Norte,AL,974
-37245,-9378,Santana do Ipanema,AL,4995
-36222,-9168,Santana do Mundaú,AL,5465
-36901,-10128,São Brás,AL,2827
-36058,-9.01,São José da Laje,AL,5759
-37381,-9558,São José da Tapera,AL,1980
-35561,-9318,São Luís do Quitunde,AL,6836
-36094,-9781,São Miguel dos Campos,AL,4654
-35373,-9266,São Miguel dos Milagres,AL,206
-36554,-9934,São Sebastião,AL,4567
-35824,-9563,Satuba,AL,1777
-37507,-9354,Senador Rui Palmeira,AL,9788
-36433,-9532,Tanque d'Arca,AL,7260
-36497,-9645,Taquarana,AL,8434
-36353,-9905,Teotônio Vilela,AL,317
-37003,-9971,Traipu,AL,1647
-36032,-9163,União dos Palmares,AL,9496
-36241,-9371,Viçosa,AL,2301
-64804,-3221,Alvarães,AM,8271
-68198,-3364,Amaturá,AM,2972
-61404,-3.58,Anamã,AM,8478
-61644,-3773,Anori,AM,2510
-59891,-7197,Apuí,AM,6795
-70192,-4372,Atalaia do Norte,AM,4631
-59131,-3.58,Autazes,AM,1231
-62924,-975,Barcelos,AM,9596
-57.07,-2793,Barreirinha,AM,6947
-70031,-4383,Benjamin Constant,AM,8136
-61373,-3898,Beruri,AM,8412
-57.59,-2.97,Boa Vista do Ramos,AM,8305
-67398,-8752,Boca do Acre,AM,2487
-59594,-4388,Borba,AM,444
-61209,-3328,Caapiranga,AM,7764
-64383,-6534,Canutama,AM,7303
-66896,-4883,Carauari,AM,8397
-60369,-3768,Careiro,AM,3924
-59826,-3221,Careiro da Várzea,AM,2523
-63141,-4085,Coari,AM,5745
-62057,-3837,Codajás,AM,1130
-69874,-6.66,Eirunepé,AM,2704
-70023,-7433,Envira,AM,394
-66092,-2514,Fonte Boa,AM,8356
-72584,-7546,Guajará,AM,4132
-63021,-7506,Humaitá,AM,439
-71695,-7051,Ipixuna,AM,9211
-60186,-3285,Iranduba,AM,5796
-58444,-3143,Itacoatiara,AM,5502
-68253,-6425,Itamarati,AM,2323
-58022,-2749,Itapiranga,AM,7011
-66599,-1826,Japurá,AM,789
-66069,-3481,Juruá,AM,591
-66767,-2747,Jutaí,AM,3533
-64798,-7259,Lábrea,AM,1561
-60621,-3.3,Manacapuru,AM,8789
-60459,-3428,Manaquiri,AM,1182
-60025,-3102,Manaus,AM,9754
-61.3,-5809,Manicoré,AM,5909
-65581,-1856,Maraã,AM,5983
-57719,-3384,Maués,AM,4749
-56713,-2186,Nhamundá,AM,7480
-59094,-3888,Nova Olinda do Norte,AM,9818
-60944,-2621,Novo Airão,AM,7657
-60.38,-5121,Novo Aripuanã,AM,9151
-56736,-2628,Parintins,AM,4374
-66976,-7714,Pauini,AM,9191
-60025,-2034,Presidente Figueiredo,AM,2773
-59.7,-2699,Rio Preto da Eva,AM,6206
-65019,-414,Santa Isabel do Rio Negro,AM,5293
-67.94,-3102,Santo Antônio do Içá,AM,5687
-67089,-0.13,São Gabriel da Cachoeira,AM,9944
-68873,-3378,São Paulo de Olivença,AM,9563
-57871,-2572,São Sebastião do Uatumã,AM,8241
-58209,-2839,Silves,AM,1540
-69938,-4253,Tabatinga,AM,7144
-63183,-5628,Tapauá,AM,3060
-64711,-3354,Tefé,AM,2904
-67802,-2873,Tonantins,AM,5241
-65108,-2.99,Uarini,AM,7666
-57.76,-2536,Urucará,AM,5475
-58155,-3131,Urucurituba,AM,520
-50793,2053,Amapá,AP,2138
-50949,2498,Calçoene,AP,8646
-50802,986,Cutias,AP,3622
-51.18,858,Ferreira Gomes,AP,5756
-50.8,712,Itaubal,AP,9117
-52,-1.12,Laranjal do Jari,AP,2952
-51066,39,Macapá,AP,4986
-51289,-115,Mazagão,AP,495
-51835,3843,Oiapoque,AP,7914
-51944,778,Pedra Branca do Amaparí,AP,2280
-51413,713,Porto Grande,AP,9217
-50791,1743,Pracuúba,AP,5998
-51182,-58,Santana,AP,508
-52002,896,Serra do Navio,AP,4389
-50912,1506,Tartarugalzinho,AP,4479
-52453,-805,Vitória do Jari,AP,9352
-41664,-13.25,Abaíra,BA,2649
-39115,-8721,Abaré,BA,7185
-38017,-11662,Acajutiba,BA,909
-38.1,-10533,Adustina,BA,8890
-38767,-11867,Água Fria,BA,733
-39888,-14129,Aiquara,BA,4508
-38419,-12136,Alagoinhas,BA,375
-39196,-17519,Alcobaça,BA,9702
-39637,-14705,Almadina,BA,2642
-39605,-13.03,Amargosa,BA,6701
-38757,-12392,Amélia Rodrigues,BA,5146
-41436,-11455,América Dourada,BA,3500
-41136,-14612,Anagé,BA,8194
-41331,-12807,Andaraí,BA,4755
-39833,-10345,Andorinha,BA,2509
-44694,-12007,Angical,BA,9080
-39246,-12151,Anguera,BA,1085
-38333,-10.4,Antas,BA,7127
-39.12,-12435,Antônio Cardoso,BA,1099
-40274,-10573,Antônio Gonçalves,BA,5505
-38081,-11.66,Aporá,BA,660
-39744,-13856,Apuarema,BA,915
-38203,-12.22,Araças,BA,4268
-41462,-14428,Aracatu,BA,649
-38967,-11333,Araci,BA,3895
-38499,-12082,Aramari,BA,6167
-39414,-15263,Arataca,BA,4334
-39002,-13079,Aratuípe,BA,1759
-39327,-14317,Aurelino Leal,BA,5551
-44535,-12306,Baianópolis,BA,1478
-40168,-11.96,Baixa Grande,BA,3020
-38615,-10577,Banzaê,BA,5186
