0,1,output,uf,name
-7.09166666666667,-9.82777777777778,1438,AC,Acrelândia
-7.56138888888889,-10.9413888888889,5675,AC,Assis Brasil
-68.7480555555556,-11.0161111111111,5029,AC,Brasiléia
-7.27166666666667,-9.83055555555556,3442,AC,Bujari
-67.6755555555556,-10.5727777777778,6622,AC,Capixaba
-72.67,-7.63111111111111,7634,AC,Cruzeiro do Sul
-68.7413888888889,-11.0288888888889,1760,AC,Epitaciolândia
-70.3536111111111,-8.16416666666667,8599,AC,Feijó
-7.25888888888889,-9.43416666666667,5259,AC,Jordão
-72.8958333333333,-7.61416666666667,4014,AC,Mâncio Lima
-69.2597222222222,-8.83888888888889,5847,AC,Manoel Urbano
-72.7916666666667,-8.94111111111111,9565,AC,Marechal Thaumaturgo
-7.18833333333333,-10.3352777777778,1103,AC,Plácido de Castro
-67.5325,-9.58833333333333,47,AC,Porto Acre
-72.7438888888889,-8.26861111111111,299,AC,Porto Walter
-67.81,-9.97472222222222,1481,AC,Rio Branco
-72.6361111111111,-7.74166666666667,7802,AC,Rodrigues Alves
-70.4933333333333,-9.43277777777778,2345,AC,Santa Rosa do Purus
-68.6569444444444,-9.06555555555556,5314,AC,Sena Madureira
-67.7391666666667,-1.02722222222222,2192,AC,Senador Guiomard
-70.7655555555556,-8.16138888888889,9562,AC,Tarauacá
-68.5044444444444,-10.6516666666667,8573,AC,Xapuri
-37.9361111111111,-9.26083333333333,8767,AL,Água Branca
-36.3041666666667,-9.68444444444444,707,AL,Anadia
-36.6611111111111,-9.7525,9321,AL,Arapiraca
-4.02277777777778,-9.50194444444444,9033,AL,Atalaia
-35.5072222222222,-9.40472222222222,5066,AL,Barra de Santo Antônio
-35.9077777777778,-9.84,7562,AL,Barra de São Miguel
-4.29138888888889,-9.67777777777778,951,AL,Batalha
-36.4922222222222,-9.57111111111111,9251,AL,Belém
-37.28,-9.82833333333333,2062,AL,Belo Monte
-36.2202777777778,-9.64138888888889,5965,AL,Boca da Mata
-4.01527777777778,-9.24555555555555,2409,AL,Branquinha
-36.9902777777778,-9.40027777777778,7460,AL,Cacimbinhas
-4.15361111111111,-9.39666666666667,8981,AL,Cajueiro
-3.89583333333333,-8.84583333333333,7474,AL,Campestre
-4.03694444444444,-9.78194444444444,7003,AL,Campo Alegre
-36.7916666666667,-9.95777777777778,5894,AL,Campo Grande
-4.23555555555556,-9.11694444444444,6898,AL,Canapi
-4.07361111111111,-9.4075,4366,AL,Capela
-37.3772222222222,-9.4825,1057,AL,Carneiros
-36.2961111111111,-9.25527777777778,7863,AL,Chã Preta
-36.5786111111111,-9.63222222222222,9193,AL,Coité do Nóia
-35725,-8.90888888888889,3907,AL,Colônia Leopoldina
-35.8030555555556,-9.63833333333333,7137,AL,Coqueiro Seco
-36.1755555555556,-10.1255555555556,7244,AL,Coruripe
-4.08472222222222,-9.61805555555556,7131,AL,Craíbas
-37.9991666666667,-9.38861111111111,2851,AL,Delmiro Gouveia
-0.633888888888889,-9.3925,8766,AL,Dois Riachos
-36.76,-9.39027777777778,2193,AL,Estrela de Alagoas
-36.6775,-1.59472222222222,2091,AL,Feira Grande
-36.3061111111111,-10.2919444444444,9870,AL,Feliz Deserto
-35.7808333333333,-9.1975,5688,AL,Flexeiras
-36.8288888888889,-1.5925,9838,AL,Girau do Ponciano
-35.9394444444444,-8.9725,2715,AL,Ibateguara
-4.0725,-9.53694444444444,6316,AL,Igaci
-36.6619444444444,-10.1252777777778,771,AL,Igreja Nova
-37.7486111111111,-9.22138888888889,3338,AL,Inhapi
-37.2047222222222,-9.63555555555556,3607,AL,Jacaré dos Homens
-35.46,-8.84166666666667,5864,AL,Jacuípe
-35.2583333333333,-9.08833333333333,6350,AL,Japaratinga
-0.618611111111111,-9.65944444444444,6011,AL,Jaramataia
-35.7483333333333,-1.52222222222222,1792,AL,Joaquim Gomes
-35.5736111111111,-8.93472222222222,4251,AL,Jundiá
-36.4758333333333,-9.92527777777778,4473,AL,Junqueiro
-36.7377777777778,-9.82972222222222,6227,AL,Lagoa da Canoa
-36.5027777777778,-9.74055555555556,1949,AL,Limoeiro de Anadia
-3.91305555555556,-9.66583333333333,8524,AL,Maceió
-4.11,-9.53222222222222,2762,AL,Major Isidoro
-36.3880555555556,-9.4475,4290,AL,Mar Vermelho
-35.2225,-9.01222222222222,4531,AL,Maragogi
-4.20277777777778,-9.23555555555556,3763,AL,Maravilha
-35895,-9.71027777777778,7260,AL,Marechal Deodoro
-36.3052777777778,-9.57722222222222,596,AL,Maribondo
-37.7322222222222,-9.1175,9931,AL,Mata Grande
-3.88888888888889,-0.176666666666667,6233,AL,Matriz de Camaragibe
-35.8416666666667,-9.38333333333333,4603,AL,Messias
-36.8647222222222,-9.30527777777778,5796,AL,Minador do Negrão
-37.2483333333333,-9.60277777777778,81,AL,Monteirópolis
-35.9433333333333,-9.30666666666667,7306,AL,Murici
-35.6466666666667,-8915,9165,AL,Novo Lino
-37.2938888888889,-9.53611111111111,3230,AL,Olho d'Água das Flores
-4.25055555555556,-9.50194444444444,1216,AL,Olho d'Água do Casado
-4.09166666666667,-10.0583333333333,8631,AL,Olho d'Água Grande
-37.1905555555556,-9.51861111111111,7458,AL,Olivença
-37.3566666666667,-9.16666666666667,6196,AL,Ouro Branco
-37.3291666666667,-9.67194444444444,5263,AL,Palestina
-36.6275,-9.40722222222222,6748,AL,Palmeira dos µndios
-37.4366666666667,-9.74833333333333,2065,AL,Pão de Açúcar
-4.33805555555556,-9.25277777777778,4671,AL,Pariconha
-3.89333333333333,-9465,9293,AL,Paripueira
-35.4933333333333,-9.23833333333333,3747,AL,Passo de Camaragibe
-36.3697222222222,-9.36611111111111,7107,AL,Paulo Jacinto
