lot,lat,name,uf,output
-37.938,-9.262,Água Branca,AL,8767
-36.304,-9.684,Anadia,AL,707
-36.661,-9.752,Arapiraca,AL,9321
-36.023,-9.502,Atalaia,AL,9033
-35.507,-9.405,Barra de Santo Antônio,AL,5066
-35.908,-9.84,Barra de São Miguel,AL,7562
-37.125,-9.678,Batalha,AL,951
-36.492,-9.571,Belém,AL,9251
-37.28,-9.828,Belo Monte,AL,2062
-36.22,-9.641,Boca da Mata,AL,5965
-36.015,-9.246,Branquinha,AL,2409
-36.99,-9.4,Cacimbinhas,AL,7460
-36.154,-9.397,Cajueiro,AL,8981
-35.568,-8.846,Campestre,AL,7474
-36.351,-9.782,Campo Alegre,AL,7003
-36.792,-9.958,Campo Grande,AL,5894
-37.605,-9.127,Canapi,AL,6898
-36.074,-9.408,Capela,AL,4366
-37.377,-9.483,Carneiros,AL,1057
-36.296,-9.255,Chã Preta,AL,7863
-36.579,-9.632,Coité do Nóia,AL,9193
-35.725,-8.909,Colônia Leopoldina,AL,3907
-35.803,-9.638,Coqueiro Seco,AL,7137
-36.176,-10.126,Coruripe,AL,7244
-36.768,-9.618,Craíbas,AL,7131
-37.996,-9.386,Delmiro Gouveia,AL,2851
-37.101,-9.393,Dois Riachos,AL,8766
-36.76,-9.39,Estrela de Alagoas,AL,2193
-36.678,-9.9,Feira Grande,AL,2091
-36.306,-10.292,Feliz Deserto,AL,9870
-35.715,-9.273,Flexeiras,AL,5688
-36.829,-9.884,Girau do Ponciano,AL,9838
-35.939,-8.973,Ibateguara,AL,2715
-36.634,-9.537,Igaci,AL,6316
-36.662,-10.125,Igreja Nova,AL,771
-37.754,-9.219,Inhapi,AL,3338
-37.205,-9.636,Jacaré dos Homens,AL,3607
-35.46,-8.842,Jacuípe,AL,5864
-35.258,-9.088,Japaratinga,AL,6350
-37.002,-9.659,Jaramataia,AL,6011
-35.748,-9.133,Joaquim Gomes,AL,1792
-35.574,-8.935,Jundiá,AL,4251
-36.476,-9.925,Junqueiro,AL,4473
-36.738,-9.83,Lagoa da Canoa,AL,6227
-36.503,-9.741,Limoeiro de Anadia,AL,1949
-35.735,-9.666,Maceió,AL,8524
-36.985,-9.532,Major Isidoro,AL,2762
-36.388,-9.448,Mar Vermelho,AL,4290
-35.222,-9.012,Maragogi,AL,4531
-37.35,-9.236,Maravilha,AL,3763
-35.895,-9.71,Marechal Deodoro,AL,7260
-36.305,-9.577,Maribondo,AL,596
-37.734,-9.118,Mata Grande,AL,9931
-35.533,-9.152,Matriz de Camaragibe,AL,6233
-35.842,-9.383,Messias,AL,4603
-36.865,-9.305,Minador do Negrão,AL,5796
-37.248,-9.603,Monteirópolis,AL,81
-35.943,-9.307,Murici,AL,7306
-35.647,-8.915,Novo Lino,AL,9165
-37.294,-9.536,Olho d'Água das Flores,AL,3230
-37.832,-9.501,Olho d'Água do Casado,AL,1216
-36.817,-10.058,Olho d'Água Grande,AL,8631
-37.191,-9.519,Olivença,AL,7458
-37.357,-9.167,Ouro Branco,AL,6196
-37.329,-9.672,Palestina,AL,5263
-36.628,-9.407,Palmeira dos Índios,AL,6748
-37.437,-9.748,Pão de Açúcar,AL,2065
-38.006,-9.254,Pariconha,AL,4671
-35.552,-9.465,Paripueira,AL,9293
-35.493,-9.238,Passo de Camaragibe,AL,3747
-36.37,-9.366,Paulo Jacinto,AL,7107
-36.586,-10.29,Penedo,AL,2657
-36.434,-10.406,Piaçabuçu,AL,5572
-35.957,-9.597,Pilar,AL,7541
-36.29,-9.475,Pindoba,AL,8546
-37.757,-9.624,Piranhas,AL,1755
-37.286,-9.313,Poço das Trincheiras,AL,3026
-35.398,-9.045,Porto Calvo,AL,4824
-35.295,-9.158,Porto de Pedras,AL,5534
-36.84,-10.186,Porto Real do Colégio,AL,4628
-36.471,-9.319,Quebrangulo,AL,8184
-35.853,-9.478,Rio Largo,AL,8281
-35.978,-9.833,Roteiro,AL,5889
-35.822,-9.603,Santa Luzia do Norte,AL,974
-37.245,-9.378,Santana do Ipanema,AL,4995
-36.222,-9.168,Santana do Mundaú,AL,5465
-36.901,-10.128,São Brás,AL,2827
-36.058,-9.01,São José da Laje,AL,5759
-37.381,-9.558,São José da Tapera,AL,1980
-35.561,-9.318,São Luís do Quitunde,AL,6836
-36.094,-9.781,São Miguel dos Campos,AL,4654
-35.373,-9.266,São Miguel dos Milagres,AL,206
-36.554,-9.934,São Sebastião,AL,4567
-35.824,-9.563,Satuba,AL,1777
-37.507,-9.354,Senador Rui Palmeira,AL,9788
-36.433,-9.532,Tanque d'Arca,AL,7260
-36.497,-9.645,Taquarana,AL,8434
-36.353,-9.905,Teotônio Vilela,AL,317
-37.003,-9.971,Traipu,AL,1647
-36.032,-9.163,União dos Palmares,AL,9496
-36.241,-9.371,Viçosa,AL,2301
