lot,lat,name,uf,output
-64.804,-3.221,Alvarães,AM,8271
-68.198,-3.364,Amaturá,AM,2972
-61.404,-3.58,Anamã,AM,8478
-61.644,-3.773,Anori,AM,2510
-59.891,-7.197,Apuí,AM,6795
-70.192,-4.372,Atalaia do Norte,AM,4631
-59.131,-3.58,Autazes,AM,1231
-62.924,-0.975,Barcelos,AM,9596
-57.07,-2.793,Barreirinha,AM,6947
-70.031,-4.383,Benjamin Constant,AM,8136
-61.373,-3.898,Beruri,AM,8412
-57.59,-2.97,Boa Vista do Ramos,AM,8305
-67.398,-8.752,Boca do Acre,AM,2487
-59.594,-4.388,Borba,AM,444
-61.209,-3.328,Caapiranga,AM,7764
-64.383,-6.534,Canutama,AM,7303
-66.896,-4.883,Carauari,AM,8397
-60.369,-3.768,Careiro,AM,3924
-59.826,-3.221,Careiro da Várzea,AM,2523
-63.141,-4.085,Coari,AM,5745
-62.057,-3.837,Codajás,AM,1130
-69.874,-6.66,Eirunepé,AM,2704
-70.023,-7.433,Envira,AM,394
-66.092,-2.514,Fonte Boa,AM,8356
-72.584,-7.546,Guajará,AM,4132
-63.021,-7.506,Humaitá,AM,439
-71.695,-7.051,Ipixuna,AM,9211
-60.186,-3.285,Iranduba,AM,5796
-58.444,-3.143,Itacoatiara,AM,5502
-68.253,-6.425,Itamarati,AM,2323
-58.022,-2.749,Itapiranga,AM,7011
-66.599,-1.826,Japurá,AM,789
-66.069,-3.481,Juruá,AM,591
-66.767,-2.747,Jutaí,AM,3533
-64.798,-7.259,Lábrea,AM,1561
-60.621,-3.3,Manacapuru,AM,8789
-60.459,-3.428,Manaquiri,AM,1182
-60.025,-3.102,Manaus,AM,9754
-61.3,-5.809,Manicoré,AM,5909
-65.581,-1.856,Maraã,AM,5983
-57.719,-3.384,Maués,AM,4749
-56.713,-2.186,Nhamundá,AM,7480
-59.094,-3.888,Nova Olinda do Norte,AM,9818
-60.944,-2.621,Novo Airão,AM,7657
-60.38,-5.121,Novo Aripuanã,AM,9151
-56.736,-2.628,Parintins,AM,4374
-66.976,-7.714,Pauini,AM,9191
-60.025,-2.034,Presidente Figueiredo,AM,2773
-59.7,-2.699,Rio Preto da Eva,AM,6206
-65.019,-0.414,Santa Isabel do Rio Negro,AM,5293
-67.94,-3.102,Santo Antônio do Içá,AM,5687
-67.089,-0.13,São Gabriel da Cachoeira,AM,9944
-68.873,-3.378,São Paulo de Olivença,AM,9563
-57.871,-2.572,São Sebastião do Uatumã,AM,8241
-58.209,-2.839,Silves,AM,1540
-69.938,-4.253,Tabatinga,AM,7144
-63.183,-5.628,Tapauá,AM,3060
-64.711,-3.354,Tefé,AM,2904
-67.802,-2.873,Tonantins,AM,5241
-65.108,-2.99,Uarini,AM,7666
-57.76,-2.536,Urucará,AM,5475
-58.155,-3.131,Urucurituba,AM,520
