lot,lat,name,uf,output
-50.793,2.053,Amapá,AP,2138
-50.949,2.498,Calçoene,AP,8646
-50.802,0.986,Cutias,AP,3622
-51.18,0.858,Ferreira Gomes,AP,5756
-50.8,0.712,Itaubal,AP,9117
-52,-1.12,Laranjal do Jari,AP,2952
-51.066,0.039,Macapá,AP,4986
-51.289,-0.115,Mazagão,AP,495
-51.835,3.843,Oiapoque,AP,7914
-51.944,0.778,Pedra Branca do Amaparí,AP,2280
-51.413,0.713,Porto Grande,AP,9217
-50.791,1.743,Pracuúba,AP,5998
-51.182,-0.058,Santana,AP,508
-52.002,0.896,Serra do Navio,AP,4389
-50.912,1.506,Tartarugalzinho,AP,4479
-52.453,-0.805,Vitória do Jari,AP,9352
