lot,lat,name,uf,output
-41.664,-13.25,Abaíra,BA,2649
-39.115,-8.721,Abaré,BA,7185
-38.017,-11.662,Acajutiba,BA,909
-38.1,-10.533,Adustina,BA,8890
-38.767,-11.867,Água Fria,BA,733
-39.888,-14.129,Aiquara,BA,4508
-38.419,-12.136,Alagoinhas,BA,375
-39.196,-17.519,Alcobaça,BA,9702
-39.637,-14.705,Almadina,BA,2642
-39.605,-13.03,Amargosa,BA,6701
-38.757,-12.392,Amélia Rodrigues,BA,5146
-41.436,-11.455,América Dourada,BA,3500
-41.136,-14.612,Anagé,BA,8194
-41.331,-12.807,Andaraí,BA,4755
-39.833,-10.345,Andorinha,BA,2509
-44.694,-12.007,Angical,BA,9080
-39.246,-12.151,Anguera,BA,1085
-38.333,-10.4,Antas,BA,7127
-39.12,-12.435,Antônio Cardoso,BA,1099
-40.274,-10.573,Antônio Gonçalves,BA,5505
-38.081,-11.66,Aporá,BA,660
-39.744,-13.856,Apuarema,BA,915
-38.203,-12.22,Araças,BA,4268
-41.462,-14.428,Aracatu,BA,649
-38.967,-11.333,Araci,BA,3895
-38.499,-12.082,Aramari,BA,6167
-39.414,-15.263,Arataca,BA,4334
-39.002,-13.079,Aratuípe,BA,1759
-39.327,-14.317,Aurelino Leal,BA,5551
-44.535,-12.306,Baianópolis,BA,1478
-40.168,-11.96,Baixa Grande,BA,3020
-38.615,-10.577,Banzaê,BA,5186
-43.142,-11.089,Barra,BA,2026
-41.327,-13.626,Barra da Estiva,BA,2087
-40.579,-14.881,Barra do Choça,BA,6394
-42.059,-11.81,Barra do Mendes,BA,3747
-39.602,-14.211,Barra do Rocha,BA,3703
-44.99,-12.153,Barreiras,BA,1794
-41.912,-11.761,Barro Alto,BA,393
-38.883,-15.863,Belmonte,BA,7989
-41.26,-15.038,Belo Campo,BA,416
-38.8,-11.617,Biritinga,BA,5743
-40.208,-14.363,Boa Nova,BA,356
-40.609,-12.66,Boa Vista do Tupim,BA,7900
