lot,lat,name,uf,output
-39.046,-7.359,Abaiara,CE,6278
-38.708,-4.224,Acarapé,CE,679
-40.12,-2.886,Acaraú,CE,9362
-39.453,-6.095,Acopiara,CE,5263
-40.124,-6.574,Aiuaba,CE,5110
-40.546,-3.589,Alcântaras,CE,9371
-39.741,-7.002,Altaneira,CE,6041
-38.272,-5.521,Alto Santo,CE,2344
-39.579,-3.494,Amontada,CE,4692
-39.989,-6.775,Antonina do Norte,CE,2523
-39.432,-3.949,Apuiarés,CE,794
-38.391,-3.901,Aquiraz,CE,3433
-37.77,-4.562,Aracati,CE,9258
-38.814,-4.371,Aracoiaba,CE,1158
-40.833,-4.753,Ararendá,CE,8335
-40.046,-7.213,Araripe,CE,6706
-39.045,-4.418,Aratuba,CE,4304
-40.161,-6.324,Arneiroz,CE,5772
-39.875,-6.874,Assaré,CE,4902
-38.968,-6.943,Aurora,CE,4292
-38.717,-6.73,Baixio,CE,8270
-38.921,-5.31,Banabuiú,CE,6912
-39.302,-7.305,Barbalha,CE,2322
-38.643,-4.287,Barreira,CE,37
-38.782,-7.177,Barro,CE,893
-41.137,-3.019,Barroquinha,CE,9860
-38.885,-4.329,Baturité,CE,4800
-38.131,-4.18,Beberibe,CE,1699
-40.168,-3.051,Bela Cruz,CE,7401
-39.732,-5.128,Boa Viagem,CE,2088
-38.985,-7.493,Brejo Santo,CE,377
-40.841,-2.902,Camocim,CE,3404
-40.376,-7.074,Campos Sales,CE,7220
-39.312,-4.359,Canindé,CE,2382
-38.901,-4.47,Capistrano,CE,7664
-39.193,-4.232,Caridade,CE,1087
-40.473,-3.951,Cariré,CE,9537
-39.284,-7.042,Caririaçu,CE,2134
-39.497,-6.537,Cariús,CE,2078
-40.943,-4.167,Carnaubal,CE,2094
-38.236,-4.131,Cascavel,CE,1849
-39.878,-6.131,Catarina,CE,9994
-40.201,-4.648,Catunda,CE,7777
-38.656,-3.733,Caucaia,CE,4642
-39.062,-6.607,Cedro,CE,854
-41.244,-3.034,Chaval,CE,2323
-39.141,-4.843,Choró,CE,8435
-38.497,-4.3,Chorozinho,CE,4352
-40.657,-3.533,Coreaú,CE,397
-40.678,-5.178,Crateús,CE,9021
-39.409,-7.234,Crato,CE,2922
-40.911,-4.4,Croatá,CE,4302
-40.172,-2.918,Cruz,CE,3830
-39.268,-5.917,Deputado Irapuan Pinheiro,CE,5575
-38.349,-6.032,Ererê,CE,1924
-38.451,-3.89,Eusébio,CE,4451
-39.566,-6.931,Farias Brito,CE,9296
-40.261,-3.798,Forquilha,CE,2999
-38.543,-3.717,Fortaleza,CE,2241
-37.797,-4.452,Fortim,CE,3536
-40.816,-3.76,Frecheirinha,CE,9834
-39.454,-4.053,General Sampaio,CE,2831
-40.753,-4.046,Graça,CE,6744
-40.826,-3.12,Granja,CE,928
-39.218,-6.888,Granjeiro,CE,7629
-40.383,-3.913,Groaíras,CE,5443
-38.637,-4.04,Guaiúba,CE,3020
-40.748,-4.167,Guaraciaba do Norte,CE,3222
-38.933,-4.263,Guaramiranga,CE,9518
-40.438,-4.408,Hidrolândia,CE,1436
-38.496,-4.099,Horizonte,CE,2975
-38.753,-4.804,Ibaretama,CE,3996
-40.889,-3.923,Ibiapina,CE,6232
-38.639,-4.974,Ibicuitinga,CE,3357
-37.355,-4.713,Icapuí,CE,9232
-38.862,-6.401,Icó,CE,5407
-39.299,-6.359,Iguatu,CE,9005
-40.309,-5.396,Independência,CE,5451
-40.759,-4.9,Ipaporanga,CE,811
-38.719,-6.79,Ipaumirim,CE,8407
-40.711,-4.322,Ipu,CE,7871
-40.719,-4.542,Ipueiras,CE,9496
-38.306,-5.812,Iracema,CE,1474
-39.783,-3.746,Irauçuba,CE,3443
-37.822,-4.674,Itaiçaba,CE,4757
-38.528,-3.969,Itaitinga,CE,3375
-39.586,-3.687,Itapagé,CE,5072
-39.832,-3.362,Itapipoca,CE,1073
-38.922,-4.564,Itapiúna,CE,9223
-39.915,-2.92,Itarema,CE,8571
-39.622,-4.529,Itatira,CE,5829
-38.767,-5.613,Jaguaretama,CE,9424
-38.62,-5.658,Jaguaribara,CE,685
-38.622,-5.891,Jaguaribe,CE,260
-37.781,-4.834,Jaguaruana,CE,1717
-39.298,-7.582,Jardim,CE,2063
-39.016,-7.686,Jati,CE,9724
-40.513,-2.794,Jijoca de Jericoacoara,CE,5755
-39.315,-7.213,Juazeiro do Norte,CE,9575
-39.528,-6.525,Jucás,CE,4619
-38.972,-6.753,Lavras da Mangabeira,CE,2896
-38.098,-5.146,Limoeiro do Norte,CE,8226
-39.577,-4.857,Madalena,CE,6716
-38.626,-3.877,Maracanaú,CE,5258
-38.686,-3.89,Maranguape,CE,8238
-40.147,-3.124,Marco,CE,2685
-40.697,-3.226,Martinópole,CE,7767
