lot,lat,name,uf,output
-41.124,-20.074,Afonso Cláudio,ES,6402
-40.979,-18.547,Água Doce do Norte,ES,1210
-40.74,-18.983,Águia Branca,ES,7389
-41.533,-20.764,Alegre,ES,9712
-40.75,-20.635,Alfredo Chaves,ES,6001
-41.017,-19.056,Alto Rio Novo,ES,9151
-40.654,-20.796,Anchieta,ES,4626
-41.568,-21.154,Apiacá,ES,2559
-40.273,-19.82,Aracruz,ES,7194
-41.198,-20.914,Atilio Vivacqua,ES,8395
-41.016,-19.519,Baixo Guandu,ES,2702
-40.891,-18.755,Barra de São Francisco,ES,6257
-40.296,-18.54,Boa Esperança,ES,6259
-41.672,-21.114,Bom Jesus do Norte,ES,588
-41.29,-20.146,Brejetuba,ES,6760
-41.113,-20.849,Cachoeiro de Itapemirim,ES,2670
-40.42,-20.264,Cariacica,ES,3223
-41.185,-20.604,Castelo,ES,7377
-40.631,-19.539,Colatina,ES,2121
-39.732,-18.593,Conceição da Barra,ES,5172
-41.244,-20.368,Conceição do Castelo,ES,166
-41.686,-20.62,Divino de São Lourenço,ES,5111
-40.659,-20.363,Domingos Martins,ES,522
-41.845,-20.689,Dores do Rio Preto,ES,9462
-40.831,-18.373,Ecoporanga,ES,6217
-40.407,-19.933,Fundão,ES,3776
-41.679,-20.776,Guaçuí,ES,2472
-40.511,-20.658,Guarapari,ES,221
-41.511,-20.234,Ibatiba,ES,1973
-40.37,-19.832,Ibiraçu,ES,2299
-41.667,-20.541,Ibitirama,ES,1431
-40.811,-20.793,Iconha,ES,5847
-41.641,-20.345,Irupi,ES,6347
-40.856,-19.802,Itaguaçu,ES,5944
-40.834,-21.011,Itapemirim,ES,3562
-40.875,-19.874,Itarana,ES,3331
-41.536,-20.346,Iúna,ES,6840
-40.076,-18.906,Jaguaré,ES,7600
-41.395,-20.789,Jerônimo Monteiro,ES,7073
-40.386,-19.758,João Neiva,ES,5748
-41.057,-19.899,Laranja da Terra,ES,9288
-40.072,-19.391,Linhares,ES,4932
-41.123,-18.863,Mantenópolis,ES,9330
-40.824,-21.043,Marataízes,ES,4371
-40.683,-20.413,Marechal Floriano,ES,1510
-40.542,-19.413,Marilândia,ES,3378
-41.366,-21.064,Mimoso do Sul,ES,1978
-40.363,-18.127,Montanha,ES,7429
-40.516,-18.093,Mucurici,ES,5035
-41.413,-20.464,Muniz Freire,ES,4205
-41.346,-20.952,Muqui,ES,2376
-40.401,-18.711,Nova Venécia,ES,584
-40.851,-19.225,Pancas,ES,5277
-40.151,-18.03,Pedro Canário,ES,1564
-40.122,-18.38,Pinheiros,ES,8347
-40.729,-20.835,Piúma,ES,7016
-40.541,-18.124,Ponto Belo,ES,2934
-41.047,-21.099,Presidente Kennedy,ES,424
-40.333,-19.265,Rio Bananal,ES,427
-40.936,-20.863,Rio Novo do Sul,ES,4208
-40.53,-20.101,Santa Leopoldina,ES,5863
-40.746,-20.041,Santa Maria de Jetibá,ES,5986
-40.6,-19.936,Santa Teresa,ES,2300
-40.624,-19.144,São Domingos do Norte,ES,5473
-40.536,-19.017,São Gabriel da Palha,ES,8514
-41.654,-21.025,São José do Calçado,ES,2072
-39.859,-18.716,São Mateus,ES,3384
-40.657,-19.739,São Roque do Canaã,ES,2573
-40.308,-20.129,Serra,ES,904
-40.098,-19.197,Sooretama,ES,6548
-41.007,-20.671,Vargem Alta,ES,2942
-41.135,-20.34,Venda Nova do Imigrante,ES,7760
-40.496,-20.39,Viana,ES,3001
-40.611,-18.615,Vila Pavão,ES,380
-40.389,-18.998,Vila Valério,ES,6498
-40.292,-20.33,Vila Velha,ES,2784
-40.338,-20.319,Vitória,ES,3956
