lot,lat,name,uf,output
-49.438,-16.757,Abadia de Goiás,GO,2984
-48.707,-16.204,Abadiânia,GO,6150
-50.377,-17.396,Acreúna,GO,7499
-50.166,-16.415,Adelândia,GO,6318
-47.784,-14.986,Água Fria de Goiás,GO,415
-48.762,-18.074,Água Limpa,GO,8521
-48.282,-15.762,Águas Lindas de Goiás,GO,7745
-48.507,-16.082,Alexânia,GO,780
-49.48,-17.728,Aloândia,GO,485
-49.339,-14.196,Alto Horizonte,GO,983
-47.51,-14.133,Alto Paraíso de Goiás,GO,2584
-46.492,-14.481,Alvorada do Norte,GO,2966
-49.297,-13.926,Amaralina,GO,9106
-49.983,-16.255,Americano do Brasil,GO,656
-51.094,-16.619,Amorinópolis,GO,3183
-48.953,-16.327,Anápolis,GO,2959
-48.219,-18.337,Anhanguera,GO,2642
-49.962,-16.461,Anicuns,GO,7823
-49.245,-16.822,Aparecida de Goiânia,GO,165
-51.145,-18.299,Aparecida do Rio Doce,GO,1113
-51.926,-18.965,Aporé,GO,9274
-49.681,-16.358,Araçu,GO,1831
-52.251,-15.898,Aragarças,GO,1312
-49.451,-16.912,Aragoiânia,GO,4918
-50.632,-15.091,Araguapaz,GO,5620
-51.56,-16.386,Arenópolis,GO,3719
-51.083,-14.92,Aruanã,GO,1502
-50.465,-16.682,Aurilândia,GO,4799
-49.758,-16.466,Avelinópolis,GO,8067
-52.545,-16.196,Baliza,GO,8459
-48.916,-14.971,Barro Alto,GO,8127
-48.953,-16.973,Bela Vista de Goiás,GO,1491
-52.172,-16.21,Bom Jardim de Goiás,GO,4814
-49.742,-18.215,Bom Jesus de Goiás,GO,857
-48.963,-16.618,Bonfinópolis,GO,7715
-49.81,-13.636,Bonópolis,GO,5233
-49.389,-16.431,Brazabrantes,GO,5110
-51.161,-15.241,Britânia,GO,6695
-49.044,-18.144,Buriti Alegre,GO,4586
-50.431,-16.181,Buriti de Goiás,GO,4428
-46.408,-14.479,Buritinópolis,GO,7814
-46.927,-15.801,Cabeceiras,GO,2511
-50.942,-18.763,Cachoeira Alta,GO,3907
-50.647,-16.668,Cachoeira de Goiás,GO,3162
-49.475,-18.492,Cachoeira Dourada,GO,1081
-51.131,-18.557,Caçu,GO,663
-51.81,-16.957,Caiapônia,GO,8903
-48.626,-17.744,Caldas Novas,GO,6624
-49.002,-16.714,Caldazinha,GO,9158
-49.694,-16.762,Campestre de Goiás,GO,3627
-48.571,-13.79,Campinaçu,GO,2100
-49.152,-14.314,Campinorte,GO,5629
-47.782,-17.639,Campo Alegre de Goiás,GO,9757
-46.772,-13.037,Campos Belos,GO,8265
-49.658,-14.258,Campos Verdes,GO,9378
-49.708,-15.354,Carmo do Rio Verde,GO,8185
-50.201,-18.091,Castelândia,GO,9514
-47.942,-18.17,Catalão,GO,9074
-49.494,-16.447,Caturaí,GO,3579
-47.458,-13.798,Cavalcante,GO,7404
-49.598,-15.308,Ceres,GO,1217
-49.776,-16.972,Cezarina,GO,1621
-52.549,-18.408,Chapadão do Céu,GO,5383
-47.925,-16.077,Cidade Ocidental,GO,6846
-48.776,-15.794,Cocalzinho de Goiás,GO,6478
-48.078,-14.151,Colinas do Sul,GO,1612
-50.548,-16.294,Córrego do Ouro,GO,9143
-48.809,-15.924,Corumbá de Goiás,GO,6833
-48.562,-18.142,Corumbaíba,GO,9386
-47.614,-16.769,Cristalina,GO,6235
