lot,lat,name,uf,output
-47.505,-4.947,Açailândia,MA,592
-43.324,-4.133,Afonso Cunha,MA,513
-42.112,-2.841,Água Doce do Maranhão,MA,9399
-44.415,-2.409,Alcântara,MA,1893
-43.471,-4.628,Aldeias Altas,MA,3482
-45.47,-4.165,Altamira do Maranhão,MA,1152
-44.446,-4.213,Alto Alegre do Maranhão,MA,5176
-45.903,-3.69,Alto Alegre do Pindaré,MA,7668
-45.93,-9.111,Alto Parnaíba,MA,8513
-45.93,-1.568,Amapá do Maranhão,MA,1802
-46.742,-5.567,Amarante do Maranhão,MA,5518
-44.62,-3.264,Anajatuba,MA,1794
-43.116,-3.672,Anapurus,MA,3001
-45.103,-1.461,Apicum-Açu,MA,6212
-45.665,-2.953,Araguanã,MA,2973
-41.903,-2.89,Araioses,MA,7966
-45.908,-4.733,Arame,MA,923
-44.78,-3.454,Arari,MA,8810
-44.053,-2.837,Axixá,MA,7311
-44.78,-4.225,Bacabal,MA,3272
-44.316,-2.971,Bacabeira,MA,1159
-45.134,-1.703,Bacuri,MA,6997
-44.738,-2.706,Bacurituba,MA,3643
-46.036,-7.533,Balsas,MA,4526
-43.024,-6.756,Barão de Grajaú,MA,9671
-45.243,-5.506,Barra do Corda,MA,5191
-42.826,-2.747,Barreirinhas,MA,3163
-45.315,-3.731,Bela Vista do Maranhão,MA,2758
-43.51,-3.155,Belágua,MA,5325
-44.558,-7.223,Benedito Leite,MA,8269
-44.783,-2.449,Bequimão,MA,1178
-44.764,-4.584,Bernardo do Mearim,MA,3103
-46.303,-1.788,Boa Vista do Gurupi,MA,8012
-45.994,-3.565,Bom Jardim,MA,7834
-46.765,-4.42,Bom Jesus das Selvas,MA,2779
-45.039,-4.22,Bom Lugar,MA,5443
-42.75,-3.684,Brejo,MA,1815
-45.495,-4.084,Brejo de Areia,MA,6431
-42.925,-3.942,Buriti,MA,5908
-43.834,-5.837,Buriti Bravo,MA,6743
-46.401,-4.346,Buriticupu,MA,7250
-47.018,-5.593,Buritirana,MA,9917
-44.058,-2.927,Cachoeira Grande,MA,7721
-44.675,-2.881,Cajapió,MA,6950
-45.011,-3.321,Cajari,MA,1069
-47.364,-6.172,Campestre do Maranhão,MA,7705
-45.717,-1.447,Cândido Mendes,MA,1263
-44.377,-3.633,Cantanhede,MA,5849
-44.327,-4.728,Capinzal do Norte,MA,8292
-47.469,-7.333,Carolina,MA,6461
-46.02,-1.195,Carutapera,MA,2433
-43.356,-4.859,Caxias,MA,6003
-44.536,-2,Cedral,MA,6125
-44.826,-2.199,Central do Maranhão,MA,6188
-46.002,-2.369,Centro do Guilherme,MA,9246
-46.128,-2.107,Centro Novo do Maranhão,MA,3468
-43.36,-3.742,Chapadinha,MA,6935
-47.782,-5.174,Cidelândia,MA,531
-43.886,-4.455,Codó,MA,6062
-43.013,-4.257,Coelho Neto,MA,6660
-44.249,-6.026,Colinas,MA,3441
-44.893,-3.834,Conceição do Lago-Açu,MA,2816
-44.124,-4.13,Coroatá,MA,9555
-44.868,-1.828,Cururupu,MA,1466
-47.426,-5.558,Davinópolis,MA,4404
-44.436,-5.033,Dom Pedro,MA,4744
-42.944,-4.156,Duque Bacelar,MA,72
-44.688,-4.883,Esperantinópolis,MA,1237
-47.451,-6.561,Estreito,MA,1845
-46.686,-6.96,Feira Nova do Maranhão,MA,526
-44.893,-6.152,Fernando Falcão,MA,3853
-46.191,-6.435,Formosa da Serra Negra,MA,2895
-46.177,-6.964,Fortaleza dos Nogueiras,MA,2304
-44.158,-5.733,Fortuna,MA,9280
-45.78,-1.403,Godofredo Viana,MA,4553
-44.299,-5.151,Gonçalves Dias,MA,3983
-44.271,-5.022,Governador Archer,MA,5431
-47.361,-5.749,Governador Edison Lobão,MA,3164
-44.247,-5.323,Governador Eugênio Barros,MA,6838
-44.074,-5.469,Governador Luiz Rocha,MA,2259
-45.676,-3.426,Governador Newton Bello,MA,9669
-45.885,-2.126,Governador Nunes Freire,MA,6927
-44.334,-5.41,Graça Aranha,MA,5827
-46.139,-5.819,Grajaú,MA,8142
-44.601,-2.133,Guimarães,MA,3098
-43.461,-2.598,Humberto de Campos,MA,1496
-44.066,-2.776,Icatu,MA,1159
-45.227,-3.661,Igarapé do Meio,MA,6763
-44.853,-4.585,Igarapé Grande,MA,9858
-47.476,-5.526,Imperatriz,MA,7533
-45.791,-5.145,Itaipava do Grajaú,MA,1484
-44.359,-3.393,Itapecuru Mirim,MA,8775
-47.526,-4.45,Itinga do Maranhão,MA,2413
-44.223,-5.817,Jatobá,MA,3542
-45.636,-5.371,Jenipapo dos Vieiras,MA,5419
-47.401,-5.448,João Lisboa,MA,5600
-44.7,-4.967,Joselândia,MA,4818
-46.092,-1.844,Junco do Maranhão,MA,4328
-45.24,-4.287,Lago da Pedra,MA,8009
-44.937,-4.442,Lago do Junco,MA,7357
-44.899,-4.498,Lago dos Rodrigues,MA,417
-44.822,-3.957,Lago Verde,MA,4479
-43.526,-6.047,Lagoa do Mato,MA,5356
-45.33,-4.813,Lagoa Grande do Maranhão,MA,4320
-47.035,-6.189,Lajeado Novo,MA,5188
-44.467,-4.52,Lima Campos,MA,372
-45.141,-7.084,Loreto,MA,422
-45.873,-1.268,Luís Domingues,MA,6885
-42.204,-3.396,Magalhães de Almeida,MA,7905
-45.959,-2.043,Maracaçumé,MA,659
-45.577,-4.599,Marajá do Sena,MA,263
-45.842,-2.31,Maranhãozinho,MA,6475
-43.111,-3.625,Mata Roma,MA,1729
-45.034,-3.101,Matinha,MA,6756
-43.199,-5.519,Matões,MA,6972
-44.556,-3.632,Matões do Norte,MA,1220
-42.609,-3.581,Milagres do Maranhão,MA,5898
-44.363,-6.371,Mirador,MA,2851
-44.584,-3.569,Miranda do Norte,MA,3730
-44.784,-2.065,Mirinzal,MA,9026
-45.251,-3.492,Monção,MA,9306
-47.067,-5.831,Montes Altos,MA,8059
-44.039,-2.864,Morros,MA,5088
-43.905,-3.466,Nina Rodrigues,MA,8951
-46.257,-7.116,Nova Colinas,MA,5476
-44.044,-6.734,Nova Iorque,MA,7565
-45.695,-2.847,Nova Olinda do Maranhão,MA,3076
-45.116,-3.948,Olho d'Água das Cunhãs,MA,1293
-44.997,-2.998,Olinda Nova do Maranhão,MA,6518
-44.108,-2.532,Paço do Lumiar,MA,493
-44.895,-2.645,Palmeirândia,MA,2660
-43.984,-6.433,Paraibano,MA,5714
-43.093,-5.682,Parnarama,MA,3266
-43.784,-6.18,Passagem Franca,MA,5359
-44.077,-6.602,Pastos Bons,MA,3198
-42.533,-2.719,Paulino Neves,MA,3025
-45.205,-4.187,Paulo Ramos,MA,3516
-44.593,-4.561,Pedreiras,MA,1775
-45.349,-2.973,Pedro do Rosário,MA,9051
-45.174,-3.294,Penalva,MA,2966
-44.854,-2.578,Peri Mirim,MA,6413
-44.333,-4.383,Peritoró,MA,1748
-45.343,-3.608,Pindaré-Mirim,MA,9279
-45.083,-2.521,Pinheiro,MA,6158
-45.285,-3.875,Pio XII,MA,5543
-44.223,-3.727,Pirapemas,MA,5363
-44.892,-4.675,Poção de Pedras,MA,1998
-47.399,-6.338,Porto Franco,MA,5599
-44.605,-1.893,Porto Rico do Maranhão,MA,9270
-44.49,-5.29,Presidente Dutra,MA,2231
-44.065,-2.928,Presidente Juscelino,MA,6865
-45.82,-2.387,Presidente Médici,MA,7382
-45.364,-2.591,Presidente Sarney,MA,3670
-44.024,-3.407,Presidente Vargas,MA,3923
