lot,lat,name,uf,output
-52.878,-20.448,Água Clara,MS,4261
-53.706,-18.324,Alcinópolis,MS,6820
-55.226,-23.104,Amambaí,MS,8431
-55.807,-20.484,Anastácio,MS,9177
-52.718,-22.188,Anaurilândia,MS,7851
-53.771,-22.153,Angélica,MS,4887
-55.948,-22.191,Antônio João,MS,7060
-51.094,-20.087,Aparecida do Taboado,MS,3966
-55.787705,-20.471326,Aquidauana,MS,2244
-55.635,-22.934,Aral Moreira,MS,6946
-54.364,-19.918,Bandeirantes,MS,4739
-52.422,-21.714,Bataguassu,MS,5840
-53.271,-22.295,Batayporã,MS,4085
-56.521,-22.109,Bela Vista,MS,6914
-56.715,-20.539,Bodoquena,MS,3114
-56.482,-21.121,Bonito,MS,2180
-52.037,-21.256,Brasilândia,MS,1663
-54.822,-22.634,Caarapó,MS,7875
-54.044,-19.531,Camapuã,MS,4854
-54.646,-20.443,Campo Grande,MS,40
-57.024,-22.014,Caracol,MS,8255
-51.734,-19.113,Cassilândia,MS,116
-52.623,-18.794,Chapadão do Sul,MS,846
-54.829,-19.832,Corguinho,MS,2284
-55.529,-23.272,Coronel Sapucaia,MS,4027
-57.653,-19.009,Corumbá,MS,7561
-53.129,-18.544,Costa Rica,MS,4686
-54.76,-18.507,Coxim,MS,4834
-54.165,-22.276,Deodápolis,MS,1232
-55.296,-20.68,Dois Irmãos do Buriti,MS,5404
-54.613,-22.04,Douradina,MS,6136
-54.806,-22.221,Dourados,MS,4403
-54.284,-23.787,Eldorado,MS,514
-54.514,-22.374,Fátima do Sul,MS,2843
-54.233,-22.418,Glória de Dourados,MS,273
-56.114,-21.458,Guia Lopes da Laguna,MS,8660
-54.561,-23.68,Iguatemi,MS,9628
-51.93,-19.726,Inocência,MS,5652
-54.789,-22.079,Itaporã,MS,5639
-54.185,-23.474,Itaquiraí,MS,3545
-53.815,-22.305,Ivinhema,MS,9278
-54.404,-23.891,Japorã,MS,1815
-54.399,-20.142,Jaraguari,MS,2962
-56.138,-21.48,Jardim,MS,3136
-54.303,-22.482,Jateí,MS,4126
-54.603,-22.861,Juti,MS,9229
-57.602,-19.005,Ladário,MS,9118
-55.15,-22.546,Laguna Carapã,MS,4617
-55.168,-21.614,Maracaju,MS,3006
-56.378,-20.241,Miranda,MS,1286
-54.271,-23.938,Mundo Novo,MS,3812
-54.191,-23.065,Naviraí,MS,9479
-55.83,-21.135,Nioaque,MS,3085
-54.384,-21.466,Nova Alvorada do Sul,MS,2398
-53.343,-22.233,Nova Andradina,MS,427
-53.86,-22.669,Novo Horizonte do Sul,MS,3982
-51.191,-19.677,Paranaíba,MS,1765
-55.431,-23.893,Paranhos,MS,4230
-54.552,-18.101,Pedro Gomes,MS,2307
-55.726,-22.536,Ponta Porã,MS,1709
-57.883,-21.699,Porto Murtinho,MS,7787
-53.759,-20.443,Ribas do Rio Pardo,MS,1416
-54.546,-21.802,Rio Brilhante,MS,981
-54.987,-19.449,Rio Negro,MS,2308
-54.844,-18.918,Rio Verde de Mato Grosso,MS,2468
-54.893,-19.953,Rochedo,MS,6158
-52.831,-21.303,Santa Rita do Pardo,MS,6354
-54.566,-19.395,São Gabriel do Oeste,MS,4674
-51.419,-20.367,Selvíria,MS,4779
-55.036,-23.97,Sete Quedas,MS,2920
-54.961,-20.932,Sidrolândia,MS,5118
-54.758,-17.577,Sonora,MS,3338
-55.016,-23.633,Tacuru,MS,9879
-53.351,-22.488,Taquarussu,MS,1689
-54.86,-20.442,Terenos,MS,5101
-51.678,-20.751,Três Lagoas,MS,6110
-54.436,-22.409,Vicentina,MS,518
