lot,lat,name,uf,output
-48.883,-1.718,Abaetetuba,PA,3483
-48.393,-4.954,Abel Figueiredo,PA,458
-48.197,-1.961,Acará,PA,5867
-50.387,-0.157,Afuá,PA,4257
-50.467,-6.791,Água Azul do Norte,PA,8000
-54.738,-1.942,Alenquer,PA,8519
-52.582,-1.523,Almeirim,PA,1237
-52.206,-3.203,Altamira,PA,5491
-49.94,-0.987,Anajás,PA,5354
-48.372,-1.366,Ananindeua,PA,1687
-51.198,-3.472,Anapu,PA,178
-46.645,-1.022,Augusto Corrêa,PA,9031
-47.563,-2.134,Aurora do Pará,PA,5900
-55.332,-3.606,Aveiro,PA,2087
-50.164,-1.9,Bagre,PA,1231
-49.672,-2.791,Baião,PA,631
-50.396,-7.348,Bannach,PA,3453
-48.626,-1.506,Barcarena,PA,2733
-48.504,-1.456,Belém,PA,8279
-54.937,-2.636,Belterra,PA,1523
-48.245,-1.361,Benevides,PA,1147
-48.609,-5.051,Bom Jesus do Tocantins,PA,9094
-47.307,-1.363,Bonito,PA,5019
-46.773,-1.063,Bragança,PA,6289
-52.668,-3.262,Brasil Novo,PA,9369
-48.413,-5.699,Brejo Grande do Araguaia,PA,7718
-49.461,-4.009,Breu Branco,PA,4083
-50.48,-1.682,Breves,PA,4607
-48.045,-1.515,Bujaru,PA,2350
-48.963,-1.011,Cachoeira do Arari,PA,5857
-46.529,-1.671,Cachoeira do Piriá,PA,3307
-49.496,-2.244,Cametá,PA,6163
-49.878,-6.497,Canaã dos Carajás,PA,7964
-47.181,-1.196,Capanema,PA,2227
-47.065,-1.745,Capitão Poço,PA,2756
-47.922,-1.297,Castanhal,PA,3430
-49.988,-0.16,Chaves,PA,7304
-48.282,-0.937,Colares,PA,4922
-49.265,-8.258,Conceição do Araguaia,PA,5971
-47.949,-1.991,Concórdia do Pará,PA,2909
-50.773,-7.825,Cumaru do Norte,PA,5238
-49.541,-6.091,Curionópolis,PA,5040
-49.795,-1.814,Curralinho,PA,2254
-55.117,-1.888,Curuá,PA,4548
-47.855,-0.734,Curuçá,PA,4552
-47.505,-4.285,Dom Eliseu,PA,7542
-49.355,-6.104,Eldorado dos Carajás,PA,3356
-56.745,-2.171,Faro,PA,5144
-49.713,-7.554,Floresta do Araguaia,PA,6799
-47.053,-1.934,Garrafão do Norte,PA,8060
-49.097,-3.843,Goianésia do Pará,PA,781
-51.64,-1.405,Gurupá,PA,7005
-47.618,-1.127,Igarapé-Açu,PA,2390
-48.96,-1.975,Igarapé-Miri,PA,7944
-47.917,-1.43,Inhangapi,PA,3577
-47.494,-2.558,Ipixuna do Pará,PA,682
-47.439,-1.769,Irituia,PA,5830
-55.984,-4.276,Itaituba,PA,7514
-49.327,-5.135,Itupiranga,PA,9148
-57.754,-6.224,Jacareacanga,PA,6825
-49.116,-4.451,Jacundá,PA,5775
-56.092,-2.152,Juruti,PA,8709
-49.381,-1.895,Limoeiro do Ajuru,PA,3644
-47.553,-2.06,Mãe do Rio,PA,7912
-47.598,-0.795,Magalhães Barata,PA,3853
-49.118,-5.369,Marabá,PA,9788
-47.45,-0.765,Maracanã,PA,493
-47.694,-0.714,Marapanim,PA,5002
-48.342,-1.355,Marituba,PA,6365
-52.889,-3.446,Medicilândia,PA,5364
-50.712,-1.804,Melgaço,PA,7110
-49.507,-2.584,Mocajuba,PA,7298
-48.769,-1.884,Moju,PA,9536
-54.069,-2.008,Monte Alegre,PA,1848
-49.217,-1.528,Muaná,PA,5345
-46.966,-2.269,Nova Esperança do Piriá,PA,7846
-49.077,-4.921,Nova Ipixuna,PA,1872
-47.386,-1.206,Nova Timboteua,PA,4882
-55.382,-7.147,Novo Progresso,PA,8537
-49.796,-4.331,Novo Repartimento,PA,121
-55.518,-1.918,Óbidos,PA,7806
-49.854,-2.003,Oeiras do Pará,PA,2634
-55.866,-1.766,Oriximiná,PA,4884
-47.119,-1.548,Ourém,PA,9939
-51.084,-6.755,Ourilândia do Norte,PA,2480
-50.638,-3.838,Pacajá,PA,9801
