lot,lat,name,uf,output
-34.903,-7.912,Abreu e Lima,PE,6175
-37.639,-7.751,Afogados da Ingazeira,PE,9794
-41.005,-8.515,Afrânio,PE,5535
-35.945,-8.458,Agrestina,PE,3189
-35.531,-8.707,Água Preta,PE,6436
-37.123,-9.111,Águas Belas,PE,2730
-36.776,-8.466,Alagoinha,PE,549
-35.231,-7.603,Aliança,PE,5738
-36.059,-8.49,Altinho,PE,1200
-35.453,-8.383,Amaraji,PE,1098
-36.286,-8.89,Angelim,PE,8755
-35.091,-7.79,Araçoiaba,PE,4483
-40.498,-7.576,Araripina,PE,1916
-37.054,-8.419,Arcoverde,PE,5179
-35.658,-8.42,Barra de Guabiraba,PE,2209
-35.186,-8.818,Barreiros,PE,4103
-35.809,-8.614,Belém de Maria,PE,5212
-38.964,-8.758,Belém de São Francisco,PE,8546
-36.424,-8.336,Belo Jardim,PE,5344
-38.034,-8.276,Betânia,PE,6497
-35.797,-8.233,Bezerros,PE,880
-39.941,-7.778,Bodocó,PE,1089
-36.68,-9.17,Bom Conselho,PE,9018
-35.587,-7.796,Bom Jardim,PE,5978
-35.729,-8.47,Bonito,PE,4375
-36.569,-9.03,Brejão,PE,2476
-37.286,-7.349,Brejinho,PE,8236
-36.371,-8.146,Brejo da Madre de Deus,PE,7417
-35.327,-7.726,Buenos Aires,PE,7065
-37.156,-8.623,Buíque,PE,7838
-35.035,-8.287,Cabo de Santo Agostinho,PE,530
-39.307,-8.512,Cabrobó,PE,4892
-36.233,-8.486,Cachoeirinha,PE,3882
-36.623,-8.773,Caetés,PE,7288
-36.334,-8.742,Calçado,PE,4722
-38.15,-7.941,Calumbi,PE,6770
-34.981,-8.022,Camaragibe,PE,1201
-35.762,-8.359,Camocim de São Félix,PE,6057
-35.274,-7.407,Camutanga,PE,5499
-36.191,-8.882,Canhotinho,PE,5146
-36.627,-8.735,Capoeiras,PE,8685
-37.794,-7.805,Carnaíba,PE,8118
-38.744,-8.322,Carnaubeira da Penha,PE,1030
-35.255,-7.851,Carpina,PE,6697
-35.976,-8.283,Caruaru,PE,3558
-35.721,-7.741,Casinhas,PE,1345
-35.717,-8.667,Catende,PE,2182
-39.239,-7.722,Cedro,PE,8649
-35.213,-8.001,Chã de Alegria,PE,2838
-35.462,-8.238,Chã Grande,PE,8932
-35.106,-7.586,Condado,PE,7106
