lot,lat,name,uf,output
-41.082,-8.215,Acauã,PI,2793
-42.669,-5.799,Agricolândia,PI,5289
-42.638,-5.89,Água Branca,PI,7682
-40.939,-7.008,Alagoinha do Piauí,PI,9919
-40.858,-7.243,Alegrete do Piauí,PI,2782
-42.21,-5.251,Alto Longá,PI,8135
-42.461,-5.039,Altos,PI,4331
-43.777,-8.424,Alvorada do Gurguéia,PI,8086
-42.855,-6.241,Amarante,PI,1293
-42.739,-6.086,Angical do Piauí,PI,9728
-43.046,-9.189,Anísio de Abreu,PI,8373
-44.198,-7.219,Antônio Almeida,PI,6701
-41.793,-6.119,Aroazes,PI,5219
-42.532,-6.655,Arraial,PI,6367
-41.039,-5.866,Assunção do Piauí,PI,6684
-43.949,-10.137,Avelino Lopes,PI,2648
-45.214,-7.85,Baixa Grande do Ribeiro,PI,5627
-42.114,-6.517,Barra d'Alcântara,PI,6114
-42.296,-4.247,Barras,PI,1872
-45.475,-9.925,Barreiras do Piauí,PI,4082
-42.513,-5.818,Barro Duro,PI,9352
-42.078,-4.024,Batalha,PI,8591
-41.868,-7.989,Bela Vista do Piauí,PI,2331
-40.972,-7.376,Belém do Piauí,PI,4961
-42.36,-5.455,Beneditinos,PI,5731
-43.951,-7.641,Bertolínia,PI,9857
-40.796,-8.148,Betânia do Piauí,PI,6213
-42.086,-4.411,Boa Hora,PI,6684
-41.323,-6.943,Bocaina,PI,3303
-44.359,-9.074,Bom Jesus,PI,60
-41.645,-3.191,Bom Princípio do Piauí,PI,5820
-42.874,-9.166,Bonfim do Piauí,PI,8327
-42.074,-4.487,Boqueirão do Piauí,PI,9140
-41.782,-4.131,Brasileira,PI,8782
-42.826,-8.214,Brejo do Piauí,PI,3905
-41.867,-3.175,Buriti dos Lopes,PI,1394
-41.098,-5.312,Buriti dos Montes,PI,738
-42.309,-4.476,Cabeceiras do Piauí,PI,3477
-42.392,-6.766,Cajazeiras do Piauí,PI,6923
-41.336,-2.928,Cajueiro da Praia,PI,6209
-40.637,-7.332,Caldeirão Grande do Piauí,PI,5766
-41.882,-7.66,Campinas do Piauí,PI,3141
-41.836,-8.376,Campo Alegre do Fidalgo,PI,2450
-41.036,-7.132,Campo Grande do Piauí,PI,9252
-42.629,-3.812,Campo Largo do Piauí,PI,5713
-42.169,-4.828,Campo Maior,PI,3326
-43.721,-7.688,Canavieira,PI,3710
-42.944,-8.11,Canto do Buriti,PI,1661
-41.944,-4.457,Capitão de Campos,PI,6555
-41.82,-8.49,Capitão Gervásio Oliveira,PI,1723
-43.33,-9.279,Caracol,PI,8986
-41.843,-3.476,Caraúbas do Piauí,PI,6411
-40.99,-7.733,Caridade do Piauí,PI,3548
-41.553,-5.322,Castelo do Piauí,PI,95
-41.896,-3.418,Caxingó,PI,2638
-41.555,-3.471,Cocal,PI,8288
-41.972,-4.559,Cocal de Telha,PI,3410
-41.449,-3.729,Cocal dos Alves,PI,2778
-42.368,-5.066,Coivaras,PI,5495
-43.792,-8.182,Colônia do Gurguéia,PI,8633
-42.178,-7.231,Colônia do Piauí,PI,94
-41.597,-7.878,Conceição do Canindé,PI,7960
-42.513,-8.816,Coronel José Dias,PI,5041
-45.162,-10.443,Corrente,PI,469
-45.185,-10.653,Cristalândia do Piauí,PI,6591
-44.224,-8.818,Cristino Castro,PI,1874
-44.306,-10.036,Curimatá,PI,5084
-44.411,-9.007,Currais,PI,5133
-40.901,-7.832,Curral Novo do Piauí,PI,7493
-42.778,-5.583,Curralinhos,PI,1154
-42.676,-5.358,Demerval Lobão,PI,4568
-42.428,-9.338,Dirceu Arcoverde,PI,8322
-41.641,-6.959,Dom Expedito Lopes,PI,5338
-41.974,-9.002,Dom Inocêncio,PI,2832
-41.27,-4.254,Domingos Mourão,PI,471
-42.14,-6.202,Elesbão Veloso,PI,5233
-43.664,-8.097,Eliseu Martins,PI,3503
-42.234,-3.902,Esperantina,PI,1595
-42.791,-9.484,Fartura do Piauí,PI,8739
-42.927,-7.791,Flores do Piauí,PI,9710
-41.794,-7.469,Floresta do Piauí,PI,8176
-43.023,-6.767,Floriano,PI,2080
-42.262,-6.396,Francinópolis,PI,8522
-42.693,-6.623,Francisco Ayres,PI,4013
-40.788,-7.331,Francisco Macedo,PI,1729
-41.138,-6.993,Francisco Santos,PI,8740
-40.616,-7.088,Fronteiras,PI,9559
-41.361,-7.158,Geminiano,PI,5824
-45.344,-9.832,Gilbués,PI,98
-43.569,-6.787,Guadalupe,PI,6371
-43.687,-9.398,Guaribas,PI,6248
-42.556,-5.989,Hugo Napoleão,PI,20
-41.821,-2.858,Ilha Grande,PI,6099
-41.708,-6.668,Inhuma,PI,8788
-41.741,-6.828,Ipiranga do Piauí,PI,5548
-41.676,-7.738,Isaías Coelho,PI,8542
-41.478,-7.447,Itainópolis,PI,8848
-43.026,-7.603,Itaueira,PI,1400
-41.21,-7.935,Jacobina do Piauí,PI,9882
-41.138,-7.359,Jaicós,PI,4520
-42.63,-6.099,Jardim do Mulato,PI,8465
-41.818,-4.771,Jatobá do Piauí,PI,3637
-43.51,-7.088,Jerumenha,PI,4893
-42.414,-8.511,João Costa,PI,9799
-42.198,-3.508,Joaquim Pires,PI,8094
-42.428,-3.478,Joca Marques,PI,4458
-42.576,-4.756,José de Freitas,PI,4992
-41.703,-5.172,Juazeiro do Piauí,PI,4321
-44.238,-10.323,Júlio Borges,PI,2934
-43.128,-9.231,Jurema,PI,6170
-42.625,-4.516,Lagoa Alegre,PI,1781
-41.601,-4.392,Lagoa de São Francisco,PI,3718
-41.528,-8.475,Lagoa do Barro do Piauí,PI,544
-42.643,-5.415,Lagoa do Piauí,PI,8006
-41.584,-6.513,Lagoa do Sítio,PI,1479
-42.623,-5.831,Lagoinha do Piauí,PI,5026
-43.93,-7.266,Landri Sales,PI,1095
-41.667,-2.879,Luís Correia,PI,6615
-42.37,-3.458,Luzilândia,PI,3105
-42.504,-3.483,Madeiro,PI,9492
-43.872,-8.013,Manoel Emídio,PI,8259
-40.661,-7.443,Marcolândia,PI,1245
-43.894,-7.121,Marcos Parente,PI,9622
-41.126,-7.463,Massapê do Piauí,PI,3202
-42.556,-3.716,Matias Olímpio,PI,5958
-42.895,-4.166,Miguel Alves,PI,9016
-42.739,-5.681,Miguel Leão,PI,7415
-41.422,-4.684,Milton Brandão,PI,5382
-42.608,-5.564,Monsenhor Gil,PI,8687
-41.03,-6.996,Monsenhor Hipólito,PI,9301
-45.304,-9.754,Monte Alegre do Piauí,PI,6156
-43.901,-9.725,Morro Cabeça no Tempo,PI,2851
-42.312,-3.743,Morro do Chapéu do Piauí,PI,8205
-42.094,-3.319,Murici dos Portelas,PI,4323
-42.672,-6.973,Nazaré do Piauí,PI,7453
-42.173,-4.631,Nossa Senhora de Nazaré,PI,5451
-42.621,-3.979,Nossa Senhora dos Remédios,PI,8742
-42.052,-8.087,Nova Santa Rita,PI,7043
-41.939,-6.449,Novo Oriente do Piauí,PI,9249
-41.933,-5.288,Novo Santo Antônio,PI,1860
-42.131,-7.025,Oeiras,PI,9532
-42.575,-5.841,Olho d'Água do Piauí,PI,9746
-40.904,-7.355,Padre Marcos,PI,1950
-42.256,-7.778,Paes Landim,PI,8596
-42.822,-7.856,Pajeú do Piauí,PI,1999
-44.236,-8.727,Palmeira do Piauí,PI,56
-43.063,-5.978,Palmeirais,PI,8280
-41.704,-7.104,Paquetá,PI,4418
-44.639,-10.227,Parnaguá,PI,9314
-41.777,-2.905,Parnaíba,PI,9979
-42.44,-5.858,Passagem Franca do Piauí,PI,9660
-41.244,-7.668,Patos do Piauí,PI,7416
-41.15,-8.144,Paulistana,PI,312
-43.223,-7.966,Pavussu,PI,8284
-41.459,-4.425,Pedro II,PI,4598
-42.285,-8.068,Pedro Laurentino,PI,7933
-41.467,-7.077,Picos,PI,2244
-41.419,-6.245,Pimenteiras,PI,9602
-40.579,-6.838,Pio IX,PI,9917
-41.709,-3.928,Piracuruca,PI,7193
-41.777,-4.273,Piripiri,PI,9037
-42.71,-3.893,Porto,PI,9204
-44.182,-6.967,Porto Alegre do Piauí,PI,3809
-42.207,-5.667,Prata do Piauí,PI,348
-41.419,-8.579,Queimada Nova,PI,4774
-44.586,-9.487,Redenção do Gurguéia,PI,3673
-42.688,-6.238,Regeneração,PI,3499
-44.953,-10.125,Riacho Frio,PI,3551
-42.713,-7.691,Ribeira do Piauí,PI,713
-45.242,-7.558,Ribeiro Gonçalves,PI,6288
-43.142,-7.775,Rio Grande do Piauí,PI,4531
-41.768,-7.185,Santa Cruz do Piauí,PI,8575
-41.959,-5.8,Santa Cruz dos Milagres,PI,917
-45.922,-9.112,Santa Filomena,PI,663
-44.129,-8.954,Santa Luz,PI,7717
-42.288,-6.799,Santa Rosa do Piauí,PI,9512
-41.519,-6.948,Santana do Piauí,PI,9426
-41.234,-6.981,Santo Antônio de Lisboa,PI,1531
-42.71,-6.047,Santo Antônio dos Milagres,PI,2314
-41.911,-7.43,Santo Inácio do Piauí,PI,4615
-43.004,-8.962,São Braz do Piauí,PI,2235
-42.114,-5.933,São Félix do Piauí,PI,7601
-41.686,-8.238,São Francisco de Assis do Piauí,PI,1819
-42.543,-7.251,São Francisco do Piauí,PI,9753
-45.303,-10.03,São Gonçalo do Gurguéia,PI,8185
-42.703,-5.993,São Gonçalo do Piauí,PI,4322
-41.343,-6.817,São João da Canabrava,PI,3742
-41.258,-3.956,São João da Fronteira,PI,2268
-41.899,-5.514,São João da Serra,PI,1412
-41.89,-6.942,São João da Varjota,PI,8762
-42.446,-3.819,São João do Arraial,PI,5889
-42.247,-8.358,São João do Piauí,PI,4173
-41.833,-3.811,São José do Divino,PI,4007
-42.564,-7.494,São José do Peixe,PI,4829
-41.475,-6.872,São José do Piauí,PI,8199
-40.826,-7.085,São Julião,PI,8341
-42.545,-9.169,São Lourenço do Piauí,PI,598
-41.324,-6.825,São Luis do Piauí,PI,5350
-42.186,-5.864,São Miguel da Baixa Grande,PI,371
-42.37,-7.586,São Miguel do Fidalgo,PI,746
-41.323,-5.504,São Miguel do Tapuio,PI,1223
-42.719,-5.929,São Pedro do Piauí,PI,6714
-42.699,-9.015,São Raimundo Nonato,PI,4905
-44.834,-10.817,Sebastião Barros,PI,9512
-44.064,-7.566,Sebastião Leal,PI,999
-41.732,-4.918,Sigefredo Pacheco,PI,878
-40.818,-7.599,Simões,PI,4495
-41.91,-7.854,Simplício Mendes,PI,5615
-42.491,-7.866,Socorro do Piauí,PI,6301
-41.384,-7.043,Sussuapara,PI,4329
-42.914,-8.4,Tamboril do Piauí,PI,7184
-42.282,-6.6,Tanque do Piauí,PI,351
-42.802,-5.089,Teresina,PI,7792
-42.864,-4.586,União,PI,9115
-44.556,-7.229,Uruçuí,PI,2535
-41.746,-6.408,Valença do Piauí,PI,5242
-42.964,-9.239,Várzea Branca,PI,7238
-42.246,-6.545,Várzea Grande,PI,1575
-41.483,-7.603,Vera Mendes,PI,6884
-40.94,-7.136,Vila Nova do Piauí,PI,8274
-41.91,-7.233,Wall Ferraz,PI,8327
