lot,lat,name,uf,output
-50.313,-23.304,Abatiá,PR,3184
-48.991,-24.657,Adrianópolis,PR,1905
-49.335,-25.993,Agudos do Sul,PR,9972
-49.31,-25.325,Almirante Tamandaré,PR,888
-52.713,-24.798,Altamira do Paraná,PR,6635
-52.319,-23.129,Alto Paraná,PR,3076
-53.441,-24.028,Alto Piquiri,PR,4866
-53.902,-23.874,Altônia,PR,6013
-51.231,-22.78,Alvorada do Sul,PR,9315
-52.788,-23.096,Amaporã,PR,3733
-53.473,-25.915,Ampére,PR,5977
-53.084,-24.717,Anahy,PR,2681
-50.229,-23.051,Andirá,PR,4478
-51.915,-23.195,Ângulo,PR,4023
-48.712,-25.429,Antonina,PR,7458
-50.197,-25.986,Antônio Olinto,PR,487
-51.461,-23.551,Apucarana,PR,4778
-51.424,-23.419,Arapongas,PR,8921
-49.827,-24.158,Arapoti,PR,3180
-51.787,-24.316,Arapuã,PR,1273
-52.496,-23.932,Araruna,PR,2166
-49.41,-25.593,Araucária,PR,3047
-51.585,-24.386,Ariranha do Ivaí,PR,1065
-50.841,-23.373,Assaí,PR,2034
-53.521,-24.42,Assis Chateaubriand,PR,3984
-51.666,-23.233,Astorga,PR,8884
-52.054,-23.151,Atalaia,PR,292
-49.636,-25.584,Balsa Nova,PR,2959
-50.368,-23.11,Bandeirantes,PR,8023
-52.012,-24.03,Barbosa Ferraz,PR,8974
-50.181,-23.115,Barra do Jacaré,PR,9764
-53.633,-26.254,Barracão,PR,2027
-53.665,-25.881,Bela Vista da Caroba,PR,456
-51.191,-22.997,Bela Vista do Paraíso,PR,8715
-51.553,-26.161,Bituruna,PR,7736
-52.789,-24.242,Boa Esperança,PR,5772
-53.212,-25.636,Boa Esperança do Iguaçu,PR,5401
-51.628,-24.869,Boa Ventura de São Roque,PR,3688
-53.408,-25.436,Boa Vista da Aparecida,PR,8304
-49.115,-25.206,Bocaiúva do Sul,PR,1185
-53.597,-26.193,Bom Jesus do Sul,PR,715
-51.764,-23.71,Bom Sucesso,PR,3127
-52.834,-26.076,Bom Sucesso do Sul,PR,6235
-51.588,-23.941,Borrazópolis,PR,1729
-53.122,-24.816,Braganey,PR,7043
-53.525,-24.197,Brasilândia do Sul,PR,7046
-51.716,-22.793,Cafeara,PR,8034
-53.32,-24.618,Cafelândia,PR,6639
-53.513,-23.902,Cafezal do Sul,PR,7088
-51.355,-23.65,Califórnia,PR,2765
-50.074,-23.046,Cambará,PR,2553
-51.278,-23.276,Cambé,PR,5738
-51.578,-23.583,Cambira,PR,8900
-52.799,-24.592,Campina da Lagoa,PR,9774
-51.827,-25.079,Campina do Simão,PR,1673
-49.055,-25.306,Campina Grande do Sul,PR,5867
-52.993,-25.031,Campo Bonito,PR,6825
-49.683,-25.978,Campo do Tenente,PR,9029
-49.528,-25.459,Campo Largo,PR,6416
-49.451,-25.369,Campo Magro,PR,9403
-52.383,-24.046,Campo Mourão,PR,8033
-51.333,-24.567,Cândido de Abreu,PR,9898
