lot,lat,name,uf,output
-44.318,-23.007,Angra dos Reis,RJ,7011
-42.103,-21.621,Aperibé,RJ,1132
-42.343,-22.873,Araruama,RJ,1079
-43.106,-22.231,Areal,RJ,695
-41.882,-22.747,Armação dos Búzios,RJ,4632
-42.028,-22.966,Arraial do Cabo,RJ,9403
-43.826,-22.47,Barra do Piraí,RJ,3393
-44.171,-22.544,Barra Mansa,RJ,5375
-43.399,-22.764,Belford Roxo,RJ,6199
-42.419,-22.152,Bom Jardim,RJ,3095
-41.68,-21.134,Bom Jesus do Itabapoana,RJ,7449
-42.019,-22.879,Cabo Frio,RJ,4306
-42.653,-22.463,Cachoeiras de Macacu,RJ,3534
-41.911,-21.575,Cambuci,RJ,961
-41.324,-21.754,Campos dos Goytacazes,RJ,4232
-42.368,-21.981,Cantagalo,RJ,5137
-41.661,-22.187,Carapebus,RJ,3157
-41.616,-21.488,Cardoso Moreira,RJ,3067
-42.609,-21.934,Carmo,RJ,4119
-42.204,-22.481,Casimiro de Abreu,RJ,3966
-43.205,-22.029,Comendador Levy Gasparian,RJ,7732
-41.868,-22.085,Conceição de Macabu,RJ,1328
-42.361,-22.029,Cordeiro,RJ,6758
-42.522,-22.051,Duas Barras,RJ,8283
-43.312,-22.786,Duque de Caxias,RJ,9908
-43.678,-22.55,Engenheiro Paulo de Frontin,RJ,6347
-42.982,-22.537,Guapimirim,RJ,2334
-42.229,-22.839,Iguaba Grande,RJ,2362
-42.859,-22.744,Itaboraí,RJ,8448
-43.775,-22.852,Itaguaí,RJ,6496
-41.691,-21.421,Italva,RJ,4295
-42.082,-21.679,Itaocara,RJ,8474
-41.888,-21.205,Itaperuna,RJ,4799
-44.563,-22.496,Itatiaia,RJ,3849
-43.653,-22.643,Japeri,RJ,7498
-42.123,-21.206,Laje do Muriaé,RJ,4948
-41.787,-22.371,Macaé,RJ,7412
-42.253,-21.984,Macuco,RJ,8389
-43.041,-22.653,Magé,RJ,3453
-44.041,-22.96,Mangaratiba,RJ,669
-42.819,-22.919,Maricá,RJ,9883
-43.733,-22.527,Mendes,RJ,1455
-43.469,-22.454,Miguel Pereira,RJ,9154
-42.197,-21.412,Miracema,RJ,5081
-41.973,-21.042,Natividade,RJ,5247
-43.414,-22.808,Nilópolis,RJ,8286
-43.104,-22.883,Niterói,RJ,4948
-42.531,-22.282,Nova Friburgo,RJ,6117
-43.451,-22.759,Nova Iguaçu,RJ,3568
-43.709,-22.611,Paracambi,RJ,1109
-43.293,-22.162,Paraíba do Sul,RJ,5754
-44.713,-23.218,Parati,RJ,2831
-43.419,-22.429,Paty do Alferes,RJ,6512
-43.179,-22.505,Petrópolis,RJ,3456
-44.001,-22.513,Pinheiral,RJ,7915
-43.898,-22.629,Piraí,RJ,4687
-42.041,-20.963,Porciúncula,RJ,5515
-44.29,-22.42,Porto Real,RJ,9573
-44.258,-22.407,Quatis,RJ,1778
-43.555,-22.716,Queimados,RJ,1455
-41.472,-22.107,Quissamã,RJ,8213
-44.447,-22.469,Resende,RJ,9422
-42.626,-22.708,Rio Bonito,RJ,6151
-44.136,-22.723,Rio Claro,RJ,9781
-43.586,-22.168,Rio das Flores,RJ,5349
-41.945,-22.527,Rio das Ostras,RJ,9947
-43.208,-22.903,Rio de Janeiro,RJ,1644
-42.008,-21.955,Santa Maria Madalena,RJ,4803
-42.18,-21.539,Santo Antônio de Pádua,RJ,3426
-41.747,-21.646,São Fidélis,RJ,1502
-40.961,-21.302,São Francisco de Itabapoana,RJ,374
-43.054,-22.827,São Gonçalo,RJ,7899
-41.051,-21.64,São João da Barra,RJ,7935
-43.372,-22.804,São João de Meriti,RJ,1842
-41.943,-21.358,São José de Ubá,RJ,8272
-42.924,-22.151,São José do Vale do Rio Preto,RJ,9442
-42.103,-22.839,São Pedro da Aldeia,RJ,130
-42.135,-21.957,São Sebastião do Alto,RJ,9569
-42.914,-21.995,Sapucaia,RJ,6643
-42.51,-22.92,Saquarema,RJ,7631
-43.708,-22.744,Seropédica,RJ,1797
-42.392,-22.651,Silva Jardim,RJ,1598
-42.675,-22.05,Sumidouro,RJ,2959
-42.714,-22.73,Tanguá,RJ,8987
-42.966,-22.412,Teresópolis,RJ,7721
-42.066,-22.063,Trajano de Morais,RJ,8514
-43.209,-22.117,Três Rios,RJ,7665
-43.7,-22.246,Valença,RJ,5737
-41.869,-20.931,Varre-Sai,RJ,2734
-43.663,-22.404,Vassouras,RJ,7474
-44.104,-22.523,Volta Redonda,RJ,3749
