lot,lat,name,uf,output
-36.639,-6.436,Acari,RN,8211
-36.909,-5.577,Açu,RN,5620
-36.506,-5.498,Afonso Bezerra,RN,801
-38.297,-6.209,Água Nova,RN,489
-38.016,-6.413,Alexandria,RN,6087
-37.766,-6.152,Almino Afonso,RN,315
-36.762,-5.288,Alto do Rodrigues,RN,3167
-36.601,-5.666,Angicos,RN,330
-37.906,-6.213,Antônio Martins,RN,1423
-37.799,-5.664,Apodi,RN,2900
-37.137,-4.956,Areia Branca,RN,3126
-35.16,-6.194,Arês,RN,5088
-37.31,-5.864,Augusto Severo,RN,4286
-35.008,-6.369,Baía Formosa,RN,309
-37.617,-5.08,Baraúna,RN,7645
-35.926,-5.951,Barcelona,RN,1116
-35.82,-5.694,Bento Fernandes,RN,8010
-36.413,-5.988,Bodó,RN,9103
-35.581,-5.984,Bom Jesus,RN,7590
-35.357,-6.191,Brejinho,RN,7960
-35.959,-5.093,Caiçara do Norte,RN,5267
-35.998,-5.76,Caiçara do Rio do Vento,RN,8497
-37.098,-6.458,Caicó,RN,4867
-36.183,-6.243,Campo Redondo,RN,6919
-35.129,-6.38,Canguaretama,RN,2227
-37.557,-5.793,Caraúbas,RN,5461
-36.595,-6.556,Carnaúba dos Dantas,RN,3485
-36.834,-5.348,Carnaubais,RN,5888
-35.426,-5.634,Ceará-Mirim,RN,5618
-36.346,-6.046,Cerro Corá,RN,1594
-36.215,-6.383,Coronel Ezequiel,RN,9430
-38.444,-6.26,Coronel João Pessoa,RN,8769
-36.79,-6.412,Cruzeta,RN,9503
-36.515,-6.261,Currais Novos,RN,6504
-38.375,-6.094,Doutor Severiano,RN,245
-38.306,-6.111,Encanto,RN,1363
-36.718,-6.945,Equador,RN,5207
-35.309,-6.332,Espírito Santo,RN,8032
-35.307,-5.706,Extremoz,RN,5547
-37.689,-5.603,Felipe Guerra,RN,9173
-36.531,-5.697,Fernando Pedroza,RN,3053
-36.818,-6.127,Florânia,RN,2312
-38.119,-6.078,Francisco Dantas,RN,1606
-37.84,-6.158,Frutuoso Gomes,RN,9664
-36.275,-5.091,Galinhos,RN,9240
-35.21,-6.267,Goianinha,RN,1399
-37.521,-5.459,Governador Dix-Sept Rosado,RN,7772
-37.155,-4.98,Grossos,RN,2839
-36.32,-5.108,Guamaré,RN,8423
-35.553,-5.824,Ielmo Marinho,RN,3729
-36.855,-5.498,Ipanguaçu,RN,7930
-37.199,-6.814,Ipueira,RN,4618
-36.871,-5.644,Itajá,RN,6475
