lot,lat,name,uf,output
-61.907,-11.944,Alta Floresta d'Oeste,RO,5992
-61.851,-12.128,Alto Alegre dos Parecis,RO,9949
-63.321,-9.713,Alto Paraíso,RO,6054
-62.389,-11.408,Alvorada d'Oeste,RO,6560
-63.041,-9.913,Ariquemes,RO,6197
-63.829,-10.212,Buritis,RO,5045
-60.554,-13.498,Cabixi,RO,9730
-62.896,-10.34,Cacaulândia,RO,5685
-61.448,-11.438,Cacoal,RO,4518
-63.612,-10.598,Campo Novo de Rondônia,RO,8456
-63.696,-8.81,Candeias do Jamari,RO,9319
-61.957,-11.418,Castanheiras,RO,8020
-60.812,-13.189,Cerejeiras,RO,338
-60.9,-12.552,Chupinguaia,RO,7088
-60.542,-13.117,Colorado do Oeste,RO,6584
-60.887,-12.962,Corumbiara,RO,1988
-64.227,-12.445,Costa Marques,RO,9550
-62.585,-9.363,Cujubim,RO,5890
-61.013,-11.525,Espigão d'Oeste,RO,5846
-62.644,-10.526,Governador Jorge Teixeira,RO,5032
-65.339,-10.783,Guajará-Mirim,RO,2242
-63.18,-9.205,Itapuã do Oeste,RO,9186
-62.466,-10.439,Jaru,RO,8335
-61.944,-10.882,Ji-Paraná,RO,31
-61.981,-9.444,Machadinho d'Oeste,RO,4318
-61.517,-11.075,Ministro Andreazza,RO,8647
-62.675,-11.03,Mirante da Serra,RO,339
-63.324,-10.295,Monte Negro,RO,4146
-62.268,-11.71,Nova Brasilândia d'Oeste,RO,4046
-65.331,-10.411,Nova Mamoré,RO,93
-62.561,-10.904,Nova União,RO,445
-61.995,-11.696,Novo Horizonte do Oeste,RO,2527
-62.248,-10.716,Ouro Preto do Oeste,RO,4037
-61.601,-12.196,Parecis,RO,9894
-61.193,-11.673,Pimenta Bueno,RO,817
-61.047,-13.483,Pimenteiras do Oeste,RO,6880
-63.904,-8.762,Porto Velho,RO,641
-61.901,-11.176,Presidente Médici,RO,2799
-61.323,-11.817,Primavera de Rondônia,RO,4771
-62.9,-9.705,Rio Crespo,RO,3391
-61.783,-11.672,Rolim de Moura,RO,66
-61.782,-11.872,Santa Luzia d'Oeste,RO,6085
-61.502,-11.903,São Felipe d'Oeste,RO,4616
-63.568,-12.052,São Francisco do Guaporé,RO,3371
-62.684,-11.681,São Miguel do Guaporé,RO,3746
-63.031,-11.798,Seringueiras,RO,9067
-62.249,-10.918,Teixeirópolis,RO,9341
-62.358,-10.239,Theobroma,RO,1056
-62.361,-11.141,Urupá,RO,4247
-62.186,-9.863,Vale do Anari,RO,9461
-62.134,-10.449,Vale do Paraíso,RO,5619
-60.146,-12.741,Vilhena,RO,3690
