lot,lat,name,uf,output
-52.034,-28.177,Água Santa,RS,8788
-53.24,-29.645,Agudo,RS,6095
-53.771,-28.239,Ajuricaba,RS,8524
-54.764,-27.655,Alecrim,RS,3379
-55.792,-29.783,Alegrete,RS,564
-54.057,-27.827,Alegria,RS,7701
-53.035,-27.249,Alpestre,RS,6579
-52.99,-28.773,Alto Alegre,RS,1463
-51.312,-29.392,Alto Feliz,RS,8368
-51.084,-29.99,Alvorada,RS,6661
-52.253,-30.875,Amaral Ferrador,RS,4314
-53.182,-27.361,Ametista do Sul,RS,4898
-51.571,-28.631,André da Rocha,RS,9847
-52.005,-28.97,Anta Gorda,RS,284
-51.283,-28.858,Antônio Prado,RS,4427
-51.498,-30.915,Arambaré,RS,8006
-50.925,-29.614,Araricá,RS,4187
-52.3,-27.394,Aratiba,RS,5699
-51.945,-29.401,Arroio do Meio,RS,160
-49.889,-29.551,Arroio do Sal,RS,4157
-53.093,-29.333,Arroio do Tigre,RS,3742
-51.729,-30.077,Arroio dos Ratos,RS,5400
-53.087,-32.238,Arroio Grande,RS,893
-52.175,-28.872,Arvorezinha,RS,7046
-53.992,-28.517,Augusto Pestana,RS,7909
-52.049,-27.698,Áurea,RS,7990
-54.107,-31.331,Bagé,RS,5755
-50.233,-30.247,Balneário Pinhal,RS,4513
-51.496,-29.377,Barão,RS,3935
-52.38,-27.621,Barão de Cotegipe,RS,4690
-51.734,-30.388,Barão do Triunfo,RS,9578
-53.71,-27.192,Barra do Guarita,RS,7205
-57.555,-30.207,Barra do Quaraí,RS,8333
-51.301,-30.291,Barra do Ribeiro,RS,4526
-52.41,-27.409,Barra do Rio Azul,RS,6244
-53.039,-27.923,Barra Funda,RS,411
-51.461,-27.672,Barracão,RS,8654
-52.583,-29.093,Barros Cassal,RS,5718
-52.598,-27.51,Benjamin Constant do Sul,RS,7485
-51.519,-29.171,Bento Gonçalves,RS,9613
-53.314,-27.663,Boa Vista das Missões,RS,9405
-54.11,-27.669,Boa Vista do Buricá,RS,4070
-51.676,-29.351,Boa Vista do Sul,RS,2773
-50.417,-28.668,Bom Jesus,RS,9713
-51.353,-29.489,Bom Princípio,RS,8496
-53.866,-27.544,Bom Progresso,RS,9867
-51.943,-29.609,Bom Retiro do Sul,RS,6914
-52.429,-29.304,Boqueirão do Leão,RS,8421
-54.9,-28.73,Bossoroca,RS,9445
-53.739,-27.614,Braga,RS,4871
-51.593,-29.551,Brochier,RS,8620
-51.962,-30.12,Butiá,RS,1689
-53.491,-30.512,Caçapava do Sul,RS,3572
-54.825,-29.884,Cacequi,RS,814
-52.894,-30.039,Cachoeira do Sul,RS,1441
-51.094,-29.951,Cachoeirinha,RS,8644
-51.66,-27.77,Cacique Doble,RS,8138
-54.638,-28.288,Caibaté,RS,4661
-53.432,-27.274,Caiçara,RS,1439
-51.812,-30.851,Camaquã,RS,7049
-52.202,-28.587,Camargo,RS,5632
-50.145,-29.048,Cambará do Sul,RS,3520
-51.093,-28.795,Campestre da Serra,RS,7720
-54.839,-27.989,Campina das Missões,RS,8225
-52.628,-27.716,Campinas do Sul,RS,1075
-51.053,-29.679,Campo Bom,RS,6807
-53.803,-27.675,Campo Novo,RS,9772
-52.999,-28.886,Campos Borges,RS,9141
-52.789,-29.669,Candelária,RS,9571
-54.752,-27.952,Cândido Godói,RS,6158
-53.673,-31.558,Candiota,RS,5396
-50.816,-29.366,Canela,RS,51
-52.676,-31.395,Canguçu,RS,2999
-51.184,-29.918,Canoas,RS,1365
-50.03,-29.761,Capão da Canoa,RS,6818
-52.484,-31.763,Capão do Leão,RS,2621
-51.325,-29.7,Capela de Santana,RS,3167
-51.989,-29.269,Capitão,RS,1526
-50.515,-30.145,Capivari do Sul,RS,1843
-50.435,-29.79,Caraá,RS,6740
-52.786,-28.284,Carazinho,RS,5309
-51.504,-29.298,Carlos Barbosa,RS,5794
-51.914,-27.718,Carlos Gomes,RS,144
-51.978,-28.561,Casca,RS,708
-51.69,-28.269,Caseiros,RS,8166
-54.012,-28.25,Catuípe,RS,7077
-51.179,-29.168,Caxias do Sul,RS,1870
-51.999,-27.761,Centenário,RS,9731
-52.813,-31.856,Cerrito,RS,8667
-52.934,-29.654,Cerro Branco,RS,4975
-53.167,-27.606,Cerro Grande,RS,8777
-51.739,-30.59,Cerro Grande do Sul,RS,2425
-54.738,-28.149,Cerro Largo,RS,6245
-53.068,-28.055,Chapada,RS,1602
-51.625,-29.955,Charqueadas,RS,2234
-52.015,-27.952,Charrua,RS,3809
-53.941,-27.923,Chiapetta,RS,510
-53.457,-33.691,Chuí,RS,3302
-51.978,-30.758,Chuvisca,RS,1609
-50.234,-30.161,Cidreira,RS,4872
-51.876,-28.344,Ciríaco,RS,7356
-51.87,-29.388,Colinas,RS,8074
-52.994,-28.524,Colorado,RS,1520
-53.487,-28.208,Condor,RS,2067
-52.992,-27.735,Constantina,RS,3349
-52.783,-28.119,Coqueiros do Sul,RS,8115
-54.066,-28.383,Coronel Barros,RS,7028
-53.701,-27.716,Coronel Bicaco,RS,1302
-51.696,-28.994,Cotiporã,RS,7348
-52.296,-28.127,Coxilha,RS,7642
-54.101,-27.5,Crissiumal,RS,3397
-52.05,-31.003,Cristal,RS,6523
-53.246,-27.454,Cristal do Sul,RS,9240
-53.606,-28.639,Cruz Alta,RS,7115
-51.985,-29.513,Cruzeiro do Sul,RS,2873
-51.848,-28.388,David Canabarro,RS,8672
-53.861,-27.265,Derrubadas,RS,5354
-55.068,-28.213,Dezesseis de Novembro,RS,5707
-54.208,-29.706,Dilermando de Aguiar,RS,2982
-51.085,-29.58,Dois Irmãos,RS,6129
-53.531,-27.659,Dois Irmãos das Missões,RS,551
-51.836,-28.984,Dois Lajeados,RS,1683
-52.108,-30.704,Dom Feliciano,RS,2071
-54.673,-30.983,Dom Pedrito,RS,3277
-49.85,-29.369,Dom Pedro de Alcântara,RS,5439
-53.357,-29.622,Dona Francisca,RS,7699
-54.361,-27.506,Doutor Maurício Cardoso,RS,8497
-51.992,-29.086,Doutor Ricardo,RS,7115
-51.616,-30.084,Eldorado do Sul,RS,6982
-51.87,-29.236,Encantado,RS,4560
-52.522,-30.544,Encruzilhada do Sul,RS,3106
-52.913,-27.708,Engenho Velho,RS,6968
-52.733,-27.528,Entre Rios do Sul,RS,2715
-54.268,-28.36,Entre-Ijuís,RS,6267
-52.302,-27.855,Erebango,RS,9686
-52.274,-27.634,Erechim,RS,9298
-52.573,-28.499,Ernestina,RS,3951
-52.571,-27.391,Erval Grande,RS,366
-53.504,-27.549,Erval Seco,RS,826
-51.19,-28.054,Esmeralda,RS,1838
-53.992,-27.355,Esperança do Sul,RS,3417
-52.85,-28.725,Espumoso,RS,4230
-52.26,-27.911,Estação,RS,4451
-51.174,-29.648,Estância Velha,RS,3386
-51.179,-29.861,Esteio,RS,9589
-51.966,-29.502,Estrela,RS,7621
-53.159,-29.177,Estrela Velha,RS,5470
-54.149,-28.525,Eugênio de Castro,RS,6641
-51.698,-28.881,Fagundes Varela,RS,5691
-51.348,-29.225,Farroupilha,RS,5799
-53.445,-29.575,Faxinal do Soturno,RS,2884
-52.673,-27.424,Faxinalzinho,RS,2926
-51.825,-29.589,Fazenda Vilanova,RS,7063
-51.306,-29.451,Feliz,RS,9226
-51.182,-29.029,Flores da Cunha,RS,6288
-52.084,-27.861,Floriano Peixoto,RS,2292
-52.346,-28.983,Fontoura Xavier,RS,8041
-53.499,-30,Formigueiro,RS,1509
-53.223,-28.797,Fortaleza dos Valos,RS,76
-53.394,-27.359,Frederico Westphalen,RS,3635
-51.534,-29.256,Garibaldi,RS,8261
-55.639,-28.184,Garruchos,RS,1885
-52.094,-27.584,Gaurama,RS,7996
-51.76,-29.905,General Câmara,RS,5338
-52.036,-28.43,Gentil,RS,9778
-52.228,-27.89,Getúlio Vargas,RS,853
-54.35,-28.028,Giruá,RS,3911
-50.767,-29.881,Glorinha,RS,853
-50.874,-29.379,Gramado,RS,2826
-52.918,-27.444,Gramado dos Loureiros,RS,1233
-52.579,-29.268,Gramado Xavier,RS,5528
-50.992,-29.944,Gravataí,RS,8882
-51.69,-28.541,Guabiju,RS,3195
-51.325,-30.114,Guaíba,RS,3945
-51.89,-28.846,Guaporé,RS,4690
-54.558,-28.141,Guarani das Missões,RS,1177
-51.426,-29.548,Harmonia,RS,5708
-53.396,-32.024,Herval,RS,7870
-52.653,-29.407,Herveiras,RS,2367
-54.308,-27.626,Horizontina,RS,4301
-53.869,-31.404,Hulha Negra,RS,7513
-53.974,-27.563,Humaitá,RS,1369
-53.135,-29.419,Ibarama,RS,3062
-51.855,-28.057,Ibiaçá,RS,1989
-51.636,-28.37,Ibiraiaras,RS,1347
-52.511,-28.624,Ibirapuitã,RS,1385
-53.09,-28.628,Ibirubá,RS,5975
-50.79,-29.574,Igrejinha,RS,1847
-53.915,-28.388,Ijuí,RS,5247
-52.124,-28.927,Ilópolis,RS,2236
-50.128,-29.975,Imbé,RS,6534
-51.777,-29.355,Imigrante,RS,9321
-54.188,-27.833,Independência,RS,9423
-54.017,-27.883,Inhacorá,RS,9790
-51.279,-28.82,Ipê,RS,6340
-52.426,-27.937,Ipiranga do Sul,RS,9793
-53.251,-27.194,Iraí,RS,3872
-53.765,-29.61,Itaara,RS,8318
-55.251,-28.787,Itacurubi,RS,6587
-52.172,-28.78,Itapuca,RS,6114
-56.553,-29.125,Itaqui,RS,7289
-52.453,-27.387,Itatiba do Sul,RS,9617
-53.581,-29.52,Ivorá,RS,3342
-51.161,-29.591,Ivoti,RS,8303
-53.277,-27.631,Jaboticaba,RS,6386
-52.535,-27.729,Jacutinga,RS,596
-53.376,-32.566,Jaguarão,RS,3400
-54.69,-29.497,Jaguari,RS,3605
-50.358,-28.885,Jaquirana,RS,329
-54.224,-29.291,Jari,RS,8733
-54.122,-28.647,Jóia,RS,967
-53.682,-29.227,Júlio de Castilhos,RS,6184
-52.858,-28.571,Lagoa dos Três Cantos,RS,2660
-51.526,-28.209,Lagoa Vermelha,RS,408
-52.796,-29.235,Lagoão,RS,4282
-51.961,-29.467,Lajeado,RS,943
-53.182,-27.689,Lajeado do Bugre,RS,4356
-53.895,-30.813,Lavras do Sul,RS,8333
-53.073,-27.6,Liberato Salzano,RS,9078
-51.209,-29.597,Lindolfo Collor,RS,9530
-51.201,-29.468,Linha Nova,RS,7305
-56.065,-29.143,Maçambara,RS,1944
-51.668,-27.567,Machadinho,RS,4004
-49.935,-29.211,Mampituba,RS,9256
-55.483,-29.589,Manoel Viana,RS,725
-50.207,-29.675,Maquiné,RS,7319
-51.554,-29.549,Maratá,RS,2273
-52.2,-28.449,Marau,RS,6139
-51.906,-27.462,Marcelino Ramos,RS,4586
-51.583,-30.353,Mariana Pimentel,RS,6876
-52.147,-27.354,Mariano Moro,RS,1204
-52.093,-29.328,Marques de Souza,RS,5846
-54.46,-29.566,Mata,RS,5735
-52.192,-28.278,Mato Castelhano,RS,9183
-52.129,-29.524,Mato Leitão,RS,8107
-51.803,-27.632,Maximiliano de Almeida,RS,2746
-52.048,-30.127,Minas do Leão,RS,1979
-53.686,-27.494,Miraguaí,RS,8128
-52.07,-28.652,Montauri,RS,9721
-50.783,-28.683,Monte Alegre dos Campos,RS,7592
-51.632,-29.163,Monte Belo do Sul,RS,7512
-51.461,-29.689,Montenegro,RS,4284
-52.692,-28.692,Mormaço,RS,7686
