lot,lat,name,uf,output
-51.023,-27.611,Abdon Batista,SC,4387
-52.328,-26.565,Abelardo Luz,SC,3502
-49.826,-27.412,Agrolândia,SC,8593
-49.711,-27.265,Agronômica,SC,4641
-51.556,-26.998,Água Doce,SC,6438
-52.987,-27.07,Águas de Chapecó,SC,3583
-52.859,-26.88,Águas Frias,SC,2039
-48.824,-27.694,Águas Mornas,SC,7129
-49.334,-27.7,Alfredo Wagner,SC,3917
-51.879,-27.458,Alto Bela Vista,SC,1671
-53.331,-26.534,Anchieta,SC,7284
-48.985,-27.569,Angelina,SC,2641
-51.13,-27.689,Anita Garibaldi,SC,3948
-49.129,-27.902,Anitápolis,SC,1412
-48.768,-27.517,Antônio Carlos,SC,8013
-49.39,-27.036,Apiúna,SC,9048
-52.142,-27.16,Arabutã,SC,5932
-48.722,-26.37,Araquari,SC,3770
-49.486,-28.935,Araranguá,SC,519
-49.018,-28.262,Armazém,SC,4530
-51.339,-26.933,Arroio Trinta,SC,7924
-52.456,-27.074,Arvoredo,SC,3081
-49.376,-26.955,Ascurra,SC,4270
-49.781,-27.42,Atalanta,SC,6921
-49.638,-27.315,Aurora,SC,5058
-49.413,-28.984,Balneário Arroio do Silva,SC,6239
-48.612,-26.456,Balneário Barra do Sul,SC,3801
-48.635,-26.991,Balneário Camboriú,SC,2921
-49.579,-29.157,Balneário Gaivota,SC,9247
-53.638,-26.769,Bandeirante,SC,513
-53.44,-26.654,Barra Bonita,SC,3236
-48.685,-26.632,Barra Velha,SC,3760
-50.464,-26.273,Bela Vista do Toldo,SC,9548
-53.576,-26.841,Belmonte,SC,3759
-49.364,-26.783,Benedito Novo,SC,4372
-48.656,-27.494,Biguaçu,SC,1001
-49.066,-26.919,Blumenau,SC,3886
-49.944,-27.744,Bocaina do Sul,SC,3218
-49.625,-28.337,Bom Jardim da Serra,SC,6871
-52.394,-26.734,Bom Jesus,SC,2383
-53.098,-26.69,Bom Jesus do Oeste,SC,611
-49.489,-27.797,Bom Retiro,SC,2863
-48.517,-27.138,Bombinhas,SC,1986
-49.075,-27.199,Botuverá,SC,3710
-49.166,-28.275,Braço do Norte,SC,7269
-49.886,-27.358,Braço do Trombudo,SC,3476
-50.868,-27.306,Brunópolis,SC,3759
-48.918,-27.098,Brusque,SC,3355
-51.015,-26.775,Caçador,SC,4836
-53.248,-27.072,Caibi,SC,3637
-51.097,-26.6,Calmon,SC,790
-48.654,-27.025,Camboriú,SC,2890
-49.266,-26.193,Campo Alegre,SC,3350
-50.761,-27.899,Campo Belo do Sul,SC,3253
-53.078,-26.394,Campo Erê,SC,4524
-51.225,-27.402,Campos Novos,SC,7392
-48.768,-27.265,Canelinha,SC,3639
-50.39,-26.177,Canoinhas,SC,7879
-50.512,-27.937,Capão Alto,SC,11
-51.612,-27.344,Capinzal,SC,4366
-48.958,-28.445,Capivari de Baixo,SC,1182
-51.662,-27.071,Catanduvas,SC,9219
-52.879,-27.161,Caxambu do Sul,SC,232
-51.336,-27.634,Celso Ramos,SC,6312
-50.876,-27.795,Cerro Negro,SC,2043
-49.554,-27.591,Chapadão do Lageado,SC,8768
-52.618,-27.096,Chapecó,SC,7993
-49.326,-28.601,Cocal do Sul,SC,5255
-52.028,-27.234,Concórdia,SC,8489
-52.607,-26.984,Cordilheira Alta,SC,6210
-52.703,-26.909,Coronel Freitas,SC,3785
-52.669,-26.512,Coronel Martins,SC,5594
-50.361,-27.585,Correia Pinto,SC,6503
-49.243,-26.425,Corupá,SC,7904
-49.37,-28.678,Criciúma,SC,5654
-53.168,-26.894,Cunha Porã,SC,1013
-53.093,-26.969,Cunhataí,SC,7567
-50.584,-27.283,Curitibanos,SC,4095
-53.502,-26.826,Descanso,SC,6805
-53.64,-26.255,Dionísio Cerqueira,SC,2415
-49.726,-26.985,Dona Emma,SC,5962
-49.483,-26.714,Doutor Pedrinho,SC,2147
-52.561,-26.724,Entre Rios,SC,5570
-49.644,-28.983,Ermo,SC,2679
-51.442,-27.276,Erval Velho,SC,5507
-52.26,-26.853,Faxinal dos Guedes,SC,2203
-53.347,-26.778,Flor do Sertão,SC,6497
-48.549,-27.597,Florianópolis,SC,2435
-52.794,-26.647,Formosa do Sul,SC,35
-49.472,-28.747,Forquilhinha,SC,8272
-50.921,-27.026,Fraiburgo,SC,8327
-50.805,-27.175,Frei Rogério,SC,2000
-52.686,-26.455,Galvão,SC,175
-48.613,-28.023,Garopaba,SC,1738
-48.855,-26.027,Garuva,SC,1174
-48.959,-26.931,Gaspar,SC,4863
-48.559,-27.315,Governador Celso Ramos,SC,522
-49.215,-28.185,Grão Pará,SC,3576
-49.035,-28.331,Gravatal,SC,3048
-48.981,-27.086,Guabiruba,SC,6997
-53.518,-26.599,Guaraciaba,SC,3988
-49.003,-26.473,Guaramirim,SC,942
-53.528,-26.385,Guarujá do Sul,SC,9757
-52.787,-27.132,Guatambú,SC,9494
-51.495,-27.194,Herval d'Oeste,SC,7436
-51.237,-27.181,Ibiam,SC,3985
-51.365,-27.092,Ibicaré,SC,8235
-49.518,-27.057,Ibirama,SC,5561
-49.3,-28.713,Içara,SC,9846
-48.827,-26.9,Ilhota,SC,5937
-48.82,-28.341,Imaruí,SC,9319
-48.67,-28.24,Imbituba,SC,2841
-49.424,-27.493,Imbuia,SC,7875
-49.232,-26.898,Indaial,SC,5842
-51.242,-27.004,Iomerê,SC,8343
-51.773,-27.404,Ipira,SC,1738
-53.535,-26.988,Iporã do Oeste,SC,9441
-52.455,-26.631,Ipuaçu,SC,7890
-52.136,-27.077,Ipumirim,SC,4906
-53.274,-26.823,Iraceminha,SC,7787
-51.902,-27.025,Irani,SC,104
-52.892,-26.656,Irati,SC,5693
-50.8,-26.239,Irineópolis,SC,8124
-52.323,-27.291,Itá,SC,3164
