lot,lat,name,uf,output
-36.93,-10.134,Amparo de São Francisco,SE,3189
-37.019,-10.281,Aquidabã,SE,3607
-37.072,-10.911,Aracaju,SE,2074
-37.62,-11.262,Arauá,SE,8083
-37.315,-10.758,Areia Branca,SE,7020
-37.039,-10.909,Barra dos Coqueiros,SE,2306
-37.621,-11.147,Boquim,SE,9862
-36.466,-10.429,Brejo Grande,SE,4863
-37.493,-10.733,Campo do Brito,SE,1589
-36.985,-10.138,Canhoba,SE,3080
-37.788,-9.642,Canindé de São Francisco,SE,6331
-37.053,-10.503,Capela,SE,6930
-37.701,-10.361,Carira,SE,1712
-36.989,-10.648,Carmópolis,SE,9210
-36.884,-10.252,Cedro de São João,SE,609
-37.755,-11.476,Cristinápolis,SE,7421
-37.183,-10.355,Cumbe,SE,9538
-37.148,-10.689,Divina Pastora,SE,7235
-37.438,-11.268,Estância,SE,5440
-37.313,-10.264,Feira Nova,SE,8325
-37.534,-10.549,Frei Paulo,SE,8678
-37.083,-9.968,Gararu,SE,5016
-36.984,-10.689,General Maynard,SE,7033
-37.198,-10.227,Gracho Cardoso,SE,4405
-36.54,-10.436,Ilha das Flores,SE,9131
-37.512,-11.519,Indiaroba,SE,8043
-37.425,-10.685,Itabaiana,SE,8781
-37.79,-11.274,Itabaianinha,SE,9609
-37.103,-10.126,Itabi,SE,1161
-37.311,-10.998,Itaporanga d'Ajuda,SE,3382
-36.94,-10.593,Japaratuba,SE,8065
-36.801,-10.347,Japoatã,SE,8326
-37.65,-10.917,Lagarto,SE,7120
-37.17,-10.806,Laranjeiras,SE,5118
-37.541,-10.666,Macambira,SE,7135
-36.924,-10.349,Malhada dos Bois,SE,6728
-37.305,-10.658,Malhador,SE,8657
-37.082,-10.738,Maruim,SE,1054
-37.343,-10.578,Moita Bonita,SE,841
-37.562,-10.027,Monte Alegre de Sergipe,SE,2560
-36.959,-10.427,Muribeca,SE,5279
-36.579,-10.32,Neópolis,SE,9008
-37.489,-10.443,Nossa Senhora Aparecida,SE,7876
-37.42,-10.218,Nossa Senhora da Glória,SE,230
-37.193,-10.492,Nossa Senhora das Dores,SE,4979
-37.058,-10.079,Nossa Senhora de Lourdes,SE,4501
-37.126,-10.855,Nossa Senhora do Socorro,SE,7496
-36.651,-10.453,Pacatuba,SE,9396
-37.687,-10.617,Pedra Mole,SE,9804
-37.674,-11.192,Pedrinhas,SE,8577
-37.723,-10.567,Pinhão,SE,1147
-36.856,-10.738,Pirambu,SE,9658
-37.685,-9.806,Poço Redondo,SE,1654
-38.183,-10.708,Poço Verde,SE,4940
-37.278,-9.917,Porto da Folha,SE,9067
-36.84,-10.211,Propriá,SE,7149
-37.725,-11.069,Riachão do Dantas,SE,9852
-37.187,-10.728,Riachuelo,SE,9834
-37.417,-10.539,Ribeirópolis,SE,6403
-37.031,-10.696,Rosário do Catete,SE,4691
-37.475,-11.032,Salgado,SE,5879
-37.448,-11.351,Santa Luzia do Itanhy,SE,2095
-37.194,-10.646,Santa Rosa de Lima,SE,6055
-36.608,-10.291,Santana do São Francisco,SE,4095
-37.054,-10.789,Santo Amaro das Brotas,SE,9600
-37.206,-11.015,São Cristóvão,SE,5131
-37.568,-10.791,São Domingos,SE,989
-36.888,-10.333,São Francisco,SE,1479
-37.381,-10.388,São Miguel do Aleixo,SE,6166
-37.811,-10.738,Simão Dias,SE,4928
-37.113,-10.604,Siriri,SE,4542
-36.884,-10.208,Telha,SE,6483
-37.998,-11.184,Tobias Barreto,SE,7332
-37.841,-11.373,Tomar do Geru,SE,9351
-37.658,-11.383,Umbaúba,SE,5407
