lot,lat,name,uf,output
-51.073,-21.685,Adamantina,SP,671
-49.644,-21.235,Adolfo,SP,6847
-46.979,-22.059,Aguaí,SP,3163
-46.717,-21.937,Águas da Prata,SP,2791
-46.633,-22.476,Águas de Lindóia,SP,1145
-49.239,-22.881,Águas de Santa Bárbara,SP,3411
-47.876,-22.599,Águas de São Pedro,SP,53
-48.988,-22.469,Agudos,SP,1856
-47.899,-23.551,Alambari,SP,9762
-51.413,-21.955,Alfredo Marcondes,SP,6939
-49.059,-20.524,Altair,SP,7599
-47.374,-21.026,Altinópolis,SP,9127
-50.164,-21.581,Alto Alegre,SP,8089
-47.262,-23.535,Alumínio,SP,7957
-49.911,-20.321,Álvares Florence,SP,1300
-51.472,-22.079,Álvares Machado,SP,7917
-49.719,-22.089,Álvaro de Carvalho,SP,8585
-49.763,-22.444,Alvinlândia,SP,196
-47.331,-22.739,Americana,SP,2122
-48.102,-21.724,Américo Brasiliense,SP,631
-49.732,-20.299,Américo de Campos,SP,1370
-46.764,-22.701,Amparo,SP,3259
-47.663,-22.126,Analândia,SP,5673
-51.379,-20.896,Andradina,SP,5317
-48.413,-23.49,Angatuba,SP,6594
-48.127,-22.789,Anhembi,SP,4548
-51.387,-22.295,Anhumas,SP,4771
-45.23,-22.847,Aparecida,SP,1360
-50.88,-20.449,Aparecida d'Oeste,SP,6248
-48.843,-24.509,Apiaí,SP,755
-47.061,-23.439,Araçariguama,SP,6211
-50.433,-21.209,Araçatuba,SP,8599
-47.614,-23.505,Araçoiaba da Serra,SP,5613
-47.786,-20.09,Aramina,SP,9934
-49.054,-23.134,Arandu,SP,8720
-44.448,-22.674,Arapeí,SP,9518
-48.176,-21.794,Araraquara,SP,9015
-47.384,-22.357,Araras,SP,2120
-50.465,-21.773,Arco-Íris,SP,3648
-48.911,-22.029,Arealva,SP,9619
-44.697,-22.58,Areias,SP,119
-48.665,-22.668,Areiópolis,SP,1509
-48.787,-21.188,Ariranha,SP,1002
-47.173,-22.573,Artur Nogueira,SP,5892
-46.321,-23.396,Arujá,SP,5664
-50.727,-20.159,Aspásia,SP,8263
-50.412,-22.662,Assis,SP,9024
-46.55,-23.117,Atibaia,SP,9023
-50.555,-20.686,Auriflama,SP,24
-49.333,-22.147,Avaí,SP,4188
-49.95,-21.461,Avanhandava,SP,3890
-48.926,-23.099,Avaré,SP,1832
-49.445,-20.918,Bady Bassitt,SP,7076
-49.357,-21.9,Balbinos,SP,8164
-49.584,-20.735,Bálsamo,SP,2278
-44.323,-22.684,Bananal,SP,7290
-49.561,-23.627,Barão de Antonina,SP,7435
-49.949,-21.267,Barbosa,SP,5489
-48.74,-22.074,Bariri,SP,5017
-48.558,-22.495,Barra Bonita,SP,3432
-49.025,-24.473,Barra do Chapéu,SP,8032
-48.505,-24.756,Barra do Turvo,SP,6385
-48.568,-20.557,Barretos,SP,4893
-48.164,-21.194,Barrinha,SP,8608
-46.876,-23.511,Barueri,SP,6937
-50.734,-21.922,Bastos,SP,6448
-47.585,-20.891,Batatais,SP,1214
-49.061,-22.315,Bauru,SP,5756
-48.479,-20.949,Bebedouro,SP,4650
-50.812,-21.271,Bento de Abreu,SP,7552
-49.474,-23.013,Bernardino de Campos,SP,8936
-46.139,-23.854,Bertioga,SP,892
-50.471,-21.403,Bilac,SP,3308
-50.34,-21.289,Birigui,SP,3585
-46.039,-23.573,Biritiba-Mirim,SP,7208
-48.391,-21.993,Boa Esperança do Sul,SP,1554
-48.518,-22.136,Bocaina,SP,7942
-48.258,-23.102,Bofete,SP,8189
-47.672,-23.283,Boituva,SP,3424
-46.465,-23.135,Bom Jesus dos Perdões,SP,5835
-49.144,-24.318,Bom Sucesso de Itararé,SP,633
-50.534,-22.27,Borá,SP,1978
-48.779,-22.193,Boracéia,SP,8182
-49.074,-21.62,Borborema,SP,4473
-48.971,-22.569,Borebi,SP,8643
-48.445,-22.886,Botucatu,SP,9646
-46.542,-22.952,Bragança Paulista,SP,6200
-50.316,-21.499,Braúna,SP,8242
-50.185,-21.166,Brejo Alegre,SP,4189
-47.659,-20.991,Brodowski,SP,7231
-48.127,-22.284,Brotas,SP,6012
-48.593,-23.798,Buri,SP,2714
-50.147,-21.066,Buritama,SP,7366
-47.708,-20.191,Buritizal,SP,9197
-49.338,-22.456,Cabrália Paulista,SP,8307
-47.133,-23.308,Cabreúva,SP,1056
-45.707,-23.101,Caçapava,SP,2505
-45.009,-22.665,Cachoeira Paulista,SP,4170
-46.644,-21.529,Caconde,SP,8920
-49.61,-21.803,Cafelândia,SP,822
-51.236,-22.012,Caiabu,SP,9564
-46.741,-23.364,Caieiras,SP,9511
-51.998,-21.832,Caiuá,SP,8560
-46.877,-23.356,Cajamar,SP,4635
-48.123,-24.736,Cajati,SP,408
-48.809,-20.88,Cajobi,SP,1083
-47.304,-21.275,Cajuru,SP,5648
-48.477,-23.592,Campina do Monte Alegre,SP,3838
-47.061,-22.906,Campinas,SP,3881
-46.784,-23.206,Campo Limpo Paulista,SP,4268
-45.591,-22.739,Campos do Jordão,SP,8768
-50.003,-22.603,Campos Novos Paulista,SP,1458
-47.927,-25.015,Cananéia,SP,1336
-45.055,-22.704,Canas,SP,4272
-50.387,-22.746,Cândido Mota,SP,7586
-48.631,-21.325,Cândido Rodrigues,SP,9888
-49.783,-23.006,Canitar,SP,5437
-48.349,-24.006,Capão Bonito,SP,9472
-47.735,-23.471,Capela do Alto,SP,1020
-47.508,-22.995,Capivari,SP,9620
-45.413,-23.62,Caraguatatuba,SP,2250
-46.836,-23.523,Carapicuíba,SP,4890
-49.914,-20.082,Cardoso,SP,9208
-47.086,-21.774,Casa Branca,SP,9
-47.17,-21.283,Cássia dos Coqueiros,SP,56
-51.488,-20.872,Castilho,SP,5221
-48.973,-21.138,Catanduva,SP,2622
-49.058,-21.049,Catiguá,SP,6920
-49.268,-20.903,Cedral,SP,8694
-49.166,-23.036,Cerqueira César,SP,5441
-47.744,-23.165,Cerquilho,SP,1406
-47.953,-23.227,Cesário Lange,SP,9463
-47.778,-22.51,Charqueada,SP,6021
-49.709,-23.039,Chavantes,SP,7476
-50.449,-21.56,Clementina,SP,1130
-48.541,-20.713,Colina,SP,1244
-48.689,-20.176,Colômbia,SP,6512
-47.173,-22.33,Conchal,SP,1394
-48.011,-23.015,Conchas,SP,7160
-47.457,-22.482,Cordeirópolis,SP,6347
-50.281,-21.352,Coroados,SP,4216
-49.314,-23.631,Coronel Macedo,SP,9808
-47.626,-22.22,Corumbataí,SP,9474
-47.196,-22.646,Cosmópolis,SP,5147
-49.778,-20.478,Cosmorama,SP,7582
-46.919,-23.604,Cotia,SP,1252
-47.729,-21.34,Cravinhos,SP,2500
-47.42,-20.397,Cristais Paulista,SP,7596
-50.794,-22.736,Cruzália,SP,2393
-44.963,-22.576,Cruzeiro,SP,6421
-46.425,-23.895,Cubatão,SP,3382
-44.96,-23.074,Cunha,SP,8581
-47.619,-21.904,Descalvado,SP,1290
-46.623,-23.686,Diadema,SP,3333
-50.606,-20.466,Dirce Reis,SP,3727
-46.739,-21.661,Divinolândia,SP,374
-48.394,-21.517,Dobrada,SP,9904
-48.38,-22.366,Dois Córregos,SP,8021
-50.513,-20.123,Dolcinópolis,SP,6715
-48.318,-22.1,Dourado,SP,31
-51.533,-21.483,Dracena,SP,5132
-49.404,-22.414,Duartina,SP,439
-47.973,-21.236,Dumont,SP,6649
-50.201,-22.429,Echaporã,SP,7430
-48.108,-24.52,Eldorado,SP,2163
-47.374,-23.043,Elias Fausto,SP,3815
-49.112,-21.166,Elisiário,SP,7017
-48.836,-20.983,Embaúba,SP,8514
-46.852,-23.649,Embu,SP,8668
-46.811,-23.832,Embu-Guaçu,SP,7813
-51.483,-21.833,Emilianópolis,SP,1021
-47.215,-22.488,Engenheiro Coelho,SP,8372
-46.741,-22.191,Espírito Santo do Pinhal,SP,5988
-49.43,-22.692,Espírito Santo do Turvo,SP,2598
-46.945,-22.271,Estiva Gerbi,SP,7431
-50.401,-20.288,Estrela d'Oeste,SP,5288
-51.66,-22.488,Estrela do Norte,SP,9378
-52.59,-22.561,Euclides da Cunha Paulista,SP,1247
-49.51,-23.388,Fartura,SP,1790
-48.685,-21.264,Fernando Prestes,SP,1762
-50.246,-20.284,Fernandópolis,SP,9927
-49.521,-22.359,Fernão,SP,4615
-46.369,-23.541,Ferraz de Vasconcelos,SP,1864
-51.384,-21.676,Flora Rica,SP,3087
-50.145,-20.677,Floreal,SP,5954
-51.174,-21.615,Flórida Paulista,SP,2351
-50.738,-22.903,Florínia,SP,5341
-47.401,-20.539,Franca,SP,488
-46.745,-23.282,Francisco Morato,SP,1149
-46.727,-23.322,Franco da Rocha,SP,8805
-50.555,-21.531,Gabriel Monteiro,SP,7951
-49.553,-22.291,Gália,SP,7275
-49.656,-22.211,Garça,SP,7443
-50.187,-20.799,Gastão Vidigal,SP,9552
-48.495,-21.839,Gavião Peixoto,SP,1942
-50.361,-20.648,General Salgado,SP,9252
-49.929,-21.799,Getulina,SP,2088
-50.211,-21.384,Glicério,SP,2410
-49.799,-21.622,Guaiçara,SP,5070
-49.897,-21.91,Guaimbê,SP,8060
-48.311,-20.318,Guaíra,SP,1334
-49.22,-20.795,Guapiaçu,SP,6357
-48.533,-24.185,Guapiara,SP,7460
-47.824,-20.428,Guará,SP,4798
-51.207,-21.028,Guaraçaí,SP,3750
-48.945,-20.499,Guaraci,SP,2537
-50.339,-20.075,Guarani d'Oeste,SP,8839
-49.59,-21.895,Guarantã,SP,8395
-50.643,-21.261,Guararapes,SP,7476
-46.035,-23.415,Guararema,SP,8987
-45.193,-22.816,Guaratinguetá,SP,4641
-48.184,-23.373,Guareí,SP,1409
-48.228,-21.36,Guariba,SP,8260
-46.256,-23.993,Guarujá,SP,1784
-46.533,-23.463,Guarulhos,SP,7406
-48.038,-21.497,Guatapará,SP,893
-50.662,-20.65,Guzolândia,SP,3255
-50.385,-22.004,Herculândia,SP,9447
-47.056,-22.633,Holambra,SP,4827
-47.22,-22.858,Hortolândia,SP,2972
-49.025,-21.89,Iacanga,SP,4515
-50.689,-21.858,Iacri,SP,6953
-49.163,-22.871,Iaras,SP,4647
-47.997,-21.955,Ibaté,SP,39
-49.241,-21.08,Ibirá,SP,1314
-50.073,-22.818,Ibirarema,SP,2758
-48.829,-21.758,Ibitinga,SP,9205
-47.223,-23.656,Ibiúna,SP,7862
-49.195,-20.342,Icém,SP,5366
-51.076,-22.661,Iepê,SP,3475
-48.558,-22.509,Igaraçu do Tietê,SP,3490
-47.747,-20.038,Igarapava,SP,7311
-46.156,-23.204,Igaratá,SP,1914
-47.555,-24.708,Iguape,SP,7000
-47.54,-24.741,Ilha Comprida,SP,3573
-51.343,-20.433,Ilha Solteira,SP,6947
-45.358,-23.778,Ilhabela,SP,168
-47.218,-23.09,Indaiatuba,SP,2402
-51.252,-22.174,Indiana,SP,3058
-50.29,-19.98,Indiaporã,SP,6290
-50.962,-21.77,Inúbia Paulista,SP,4780
-49.626,-23.057,Ipaussu,SP,205
-47.689,-23.35,Iperó,SP,6206
-47.719,-22.436,Ipeúna,SP,2994
-49.387,-20.657,Ipiguá,SP,6376
-48.593,-24.586,Iporanga,SP,6582
-48.012,-20.438,Ipuã,SP,3749
-47.519,-22.581,Iracemápolis,SP,1106
-49.409,-21.279,Irapuã,SP,6284
-51.345,-21.571,Irapuru,SP,6837
-49.137,-23.862,Itaberá,SP,4879
-49.091,-23.418,Itaí,SP,7953
-49.054,-21.318,Itajobi,SP,9134
-48.805,-21.981,Itaju,SP,5899
-46.789,-24.183,Itanhaém,SP,7824
-48.843,-24.64,Itaóca,SP,3998
-46.849,-23.717,Itapecerica da Serra,SP,4920
-48.053,-23.592,Itapetininga,SP,5844
-48.876,-23.982,Itapeva,SP,5048
-46.934,-23.549,Itapevi,SP,4486
-46.822,-22.436,Itapira,SP,9483
-49.168,-24.574,Itapirapuã Paulista,SP,6226
-48.813,-21.596,Itápolis,SP,2243
-49.49,-23.708,Itaporanga,SP,9955
-48.719,-22.233,Itapuí,SP,5320
-51.509,-20.646,Itapura,SP,4041
-46.348,-23.486,Itaquaquecetuba,SP,7376
-49.341,-24.115,Itararé,SP,9955
-47.174,-24.289,Itariri,SP,89
-46.839,-23.006,Itatiba,SP,6890
-48.616,-23.102,Itatinga,SP,8814
-47.823,-22.253,Itirapina,SP,3153
-47.219,-20.641,Itirapuã,SP,5699
-46.975,-21.737,Itobi,SP,5287
-47.299,-23.264,Itu,SP,3718
-47.058,-23.153,Itupeva,SP,6195
-47.781,-20.339,Ituverava,SP,1652
-48.413,-20.688,Jaborandi,SP,335
-48.322,-21.255,Jaboticabal,SP,750
