lot,lat,name,uf,output
-49.151,-9.621,Abreulândia,TO,2052
-47.466,-6.563,Aguiarnópolis,TO,5058
-48.936,-11.306,Aliança do Tocantins,TO,6563
-47.17,-11.574,Almas,TO,4313
-49.125,-12.48,Alvorada,TO,5495
-48.073,-6.366,Ananás,TO,8276
-47.865,-6.39,Angico,TO,1494
-47.972,-9.952,Aparecida do Rio Negro,TO,2602
-48.528,-7.162,Aragominas,TO,5021
-49.556,-8.804,Araguacema,TO,1115
-49.826,-12.931,Araguaçu,TO,8543
-48.207,-7.191,Araguaína,TO,5395
-48.644,-6.581,Araguanã,TO,5885
-48.124,-5.651,Araguatins,TO,1858
-49.064,-7.658,Arapoema,TO,3168
-46.938,-12.931,Arraias,TO,8579
-47.888,-5.466,Augustinópolis,TO,39
-46.408,-12.713,Aurora do Tocantins,TO,8078
-47.769,-5.617,Axixá do Tocantins,TO,8450
-47.757,-7.205,Babaçulândia,TO,7466
-48.584,-7.756,Bandeirantes do Tocantins,TO,6276
-47.683,-7.689,Barra do Ouro,TO,390
-48.725,-9.836,Barrolândia,TO,6227
-48.888,-7.874,Bernardo Sayão,TO,633
-48.166,-8.965,Bom Jesus do Tocantins,TO,4156
-48.481,-8.388,Brasilândia do Tocantins,TO,7858
-48.566,-11,Brejinho de Nazaré,TO,6243
-48.229,-5.316,Buriti do Tocantins,TO,4360
-47.922,-6.122,Cachoeirinha,TO,4843
-46.868,-7.994,Campos Lindos,TO,4030
-49.161,-11.891,Cariri do Tocantins,TO,3037
-48.396,-7.033,Carmolândia,TO,7803
-48.035,-5.322,Carrasco Bonito,TO,1004
-49.956,-9.278,Caseara,TO,40
-47.336,-8.951,Centenário,TO,5727
-47.751,-11.617,Chapada da Natividade,TO,7890
-49.14,-10.144,Chapada de Areia,TO,674
-48.475,-8.059,Colinas do Tocantins,TO,4389
-48.765,-8.729,Colméia,TO,6029
-46.539,-12.792,Combinado,TO,4421
-47.298,-12.219,Conceição do Tocantins,TO,6498
-49.247,-8.284,Couto de Magalhães,TO,7404
-49.193,-10.6,Cristalândia,TO,3553
-48.919,-11.1,Crixás do Tocantins,TO,1026
-47.76,-6.713,Darcinópolis,TO,2619
-46.821,-11.628,Dianópolis,TO,3409
-49.214,-9.8,Divinópolis do Tocantins,TO,2136
-49.064,-9.258,Dois Irmãos do Tocantins,TO,8426
-49.271,-11.344,Dueré,TO,6418
-48.511,-5.343,Esperantina,TO,6491
-48.907,-10.761,Fátima,TO,651
-49.174,-12.131,Figueirópolis,TO,9866
-47.49,-7.336,Filadélfia,TO,512
-49.529,-11.797,Formoso do Araguaia,TO,9295
-48.519,-9.057,Fortaleza do Tabocão,TO,5073
-48.932,-8.776,Goianorte,TO,6436
-47.314,-7.71,Goiatins,TO,4816
-48.51,-8.834,Guaraí,TO,725
-49.069,-11.729,Gurupi,TO,7973
-48.463,-11.239,Ipueiras,TO,8928
-47.768,-8.392,Itacajá,TO,7146
-47.481,-5.768,Itaguatins,TO,1724
-48.111,-8.384,Itapiratins,TO,6584
-48.689,-8.571,Itaporã do Tocantins,TO,6101
-48.594,-12.654,Jaú do Tocantins,TO,9084
-49.065,-8.119,Juarina,TO,1108
-49.624,-10.794,Lagoa da Confusão,TO,9411
-47.551,-10.378,Lagoa do Tocantins,TO,9632
-48.358,-9.751,Lajeado,TO,9618
-46.506,-12.789,Lavandeira,TO,997
-46.673,-9.594,Lizarda,TO,7595
-47.856,-6.182,Luzinópolis,TO,6914
-49.654,-9.796,Marianópolis do Tocantins,TO,659
-46.421,-10.548,Mateiros,TO,7055
-47.506,-5.953,Maurilândia do Tocantins,TO,3354
-48.392,-9.567,Miracema do Tocantins,TO,6490
-48.59,-9.529,Miranorte,TO,6136
-48.109,-10.763,Monte do Carmo,TO,5931
-48.995,-10.004,Monte Santo do Tocantins,TO,6665
-48.611,-7.147,Muricilândia,TO,4684
-47.723,-11.71,Natividade,TO,2845
-47.664,-6.372,Nazaré,TO,8055
-48.423,-7.632,Nova Olinda,TO,8636
-48.914,-10.567,Nova Rosalândia,TO,9047
-47.677,-9.963,Novo Acordo,TO,7467
-46.574,-12.931,Novo Alegre,TO,8860
-46.628,-11.824,Novo Jardim,TO,3755
-48.907,-10.708,Oliveira de Fátima,TO,4178
-48.333,-10.167,Palmas,TO,2694
-47.926,-7.86,Palmeirante,TO,9258
-47.546,-6.613,Palmeiras do Tocantins,TO,5599
-48.402,-13.044,Palmeirópolis,TO,1091
-48.867,-10.176,Paraíso do Tocantins,TO,1056
-47.883,-12.615,Paranã,TO,5608
-49.372,-7.54,Pau d'Arco,TO,9832
-48.175,-8.968,Pedro Afonso,TO,7272
-48.539,-12.025,Peixe,TO,9927
-48.934,-8.595,Pequizeiro,TO,2803
-47.579,-11.139,Pindorama do Tocantins,TO,1103
-48.297,-6.774,Piraquê,TO,2127
